ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
O95995:P01591,0.13713168585330848,0.706,O95995,P01591,0.23,0.236,0.26,77.82,26.504,0.55,0.0,0,30.384,12.0,84.117,90.81,77.425,0.183,0.18,0.185,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NAV1:Q9H6K4,0.053989765513971194,0.636,Q8NAV1,Q9H6K4,0.07,0.136,0.4,66.94,25.763,0.35,0.0,0,31.23,12.0,77.54,90.687,64.393,0.108,0.109,0.108,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P00156:P56556,0.12694025973199918,0.706,P00156,P56556,0.18,0.286,0.71,85.24,14.167,0.32,0.0,0,27.382,12.0,86.606,85.733,87.479,0.123,0.12,0.127,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
Q8NBC4:Q9H341,0.04666567809230539,0.636,Q8NBC4,Q9H341,0.14,0.23,0.59,60.85,20.552,0.44,0.0,0,29.032,12.0,63.966,36.456,91.476,0.255,0.269,0.24,0.014,0,-1,non-interacting pairs,not found in same PDB complex,False
P00414:Q9Y3C1,0.06399485353269575,0.636,P00414,Q9Y3C1,0.11,0.202,0.57,77.13,18.699,0.29,0.0,0,28.598,12.0,72.163,74.664,69.662,0.121,0.118,0.124,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NEQ6:Q9Y6X1,0.0,0.0,Q8NEQ6,Q9Y6X1,0.12,0.132,0.18,58.36,27.072,0.62,0.024,29,29.511,11.709,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P00995:Q9UJK0,0.06023835925442579,0.636,P00995,Q9UJK0,0.12,0.204,0.54,64.71,21.426,0.39,0.0,0,28.58,12.0,74.567,71.506,77.629,0.168,0.17,0.167,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NET1:Q96PD6,0.05609846541862218,0.636,Q8NET1,Q96PD6,0.18,0.272,0.64,66.08,15.226,0.33,0.0,0,25.449,12.0,55.765,51.231,60.299,0.203,0.208,0.197,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P01178:P62873,0.15345438118033333,0.714,P01178,P62873,0.21,0.304,0.68,81.23,14.946,0.37,0.123,1008,25.331,10.525,66.833,46.465,87.2,0.295,0.304,0.285,0.016,0,0,non-interacting pairs,no physical interaction,False
Q8NEV9:Q9NWU5,0.06183514984917693,0.636,Q8NEV9,Q9NWU5,0.07,0.13,0.37,66.75,23.254,0.27,0.0,0,30.675,12.0,76.363,64.383,88.343,0.1,0.1,0.101,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P01185:P47881,0.20952477788571988,0.759,P01185,P47881,0.18,0.266,0.61,70.16,18.165,0.37,0.0,0,27.352,12.0,74.163,69.65,78.676,0.16,0.152,0.167,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NGF1:Q9BYQ8,0.0,0.0,Q8NGF1,Q9BYQ8,0.09,0.184,0.56,58.52,21.53,0.4,0.0,0,30.674,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P01215:Q9BYD6,0.10361910243258658,0.686,P01215,Q9BYD6,0.18,0.236,0.46,62.65,21.916,0.4,0.0,0,27.536,12.0,71.045,75.805,66.286,0.174,0.179,0.169,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NGL2:Q9UBQ5,0.08902468965792269,0.667,Q8NGL2,Q9UBQ5,0.12,0.206,0.55,75.93,18.42,0.24,0.0,0,28.574,12.0,69.829,57.625,82.033,0.122,0.122,0.122,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P01270:P55344,0.07898752444507252,0.667,P01270,P55344,0.09,0.174,0.51,63.37,20.79,0.38,0.0,0,28.583,12.0,63.129,58.54,67.718,0.168,0.169,0.166,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NH19:Q9NWW6,0.07052599447799397,0.667,Q8NH19,Q9NWW6,0.2,0.276,0.58,79.1,16.48,0.27,0.0,0,26.397,12.0,75.139,61.722,88.556,0.216,0.182,0.25,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
P01270:Q9BRJ6,0.4495411593024249,0.886,P01270,Q9BRJ6,0.31,0.338,0.45,65.94,23.438,0.67,0.164,3093,25.933,10.035,77.813,58.798,96.828,0.413,0.421,0.405,0.035,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NHW6:Q9NW64,0.28424634641183705,0.802,Q8NHW6,Q9NW64,0.54,0.508,0.38,59.32,24.033,0.66,0.254,11618,24.693,8.955,74.877,80.092,69.663,0.592,0.583,0.601,0.068,0,-1,non-interacting pairs,not found in same PDB complex,False
P16410:Q8IUA0,0.18571562631076705,0.74,P16410,Q8IUA0,0.1,0.152,0.36,66.68,23.7,0.32,0.0,0,29.61,12.0,70.624,71.709,69.539,0.137,0.148,0.127,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8TAM6:Q9BYP9,0.025740455153396284,0.559,Q8TAM6,Q9BYP9,0.15,0.152,0.16,42.45,29.425,0.59,0.0,0,30.908,12.0,48.874,53.064,44.683,0.248,0.244,0.251,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P16949:Q9BYS1,0.01874567518236586,0.559,P16949,Q9BYS1,0.06,0.098,0.25,53.34,26.837,0.5,0.0,0,30.845,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8WUX2:Q92597,0.22238976000888785,0.778,Q8WUX2,Q92597,0.25,0.304,0.52,72.6,20.769,0.39,0.011,3,29.325,11.867,57.912,77.91,37.914,0.227,0.235,0.218,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P17096:Q9UNX3,0.0,0.0,P17096,Q9UNX3,0.04,0.134,0.51,73.49,21.701,0.4,0.0,0,30.976,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8WVF1:Q9Y6M9,0.035142792193502984,0.636,Q8WVF1,Q9Y6M9,0.13,0.206,0.51,71.08,21.498,0.28,0.0,0,29.664,12.0,64.379,45.794,82.964,0.118,0.107,0.129,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P17540:Q9BYW3,0.1577824206346633,0.73,P17540,Q9BYW3,0.13,0.242,0.69,77.46,16.237,0.35,0.0,0,29.636,12.0,63.711,85.566,41.856,0.125,0.137,0.114,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9H2Z4:Q9UHQ4,0.07255564618103699,0.667,Q9H2Z4,Q9UHQ4,0.18,0.208,0.32,63.92,27.611,0.54,0.087,964,30.757,10.96,76.532,67.915,85.149,0.355,0.401,0.31,0.025,0,-1,non-interacting pairs,not found in same PDB complex,False
P18077:P62847,0.0,0.0,P18077,P62847,0.04,0.124,0.46,88.45,18.29,0.17,0.0,0,31.35,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9H467:Q9UJ72,0.3625408229840616,0.843,Q9H467,Q9UJ72,0.15,0.232,0.56,75.2,21.418,0.36,0.0,0,29.295,12.0,76.282,62.845,89.719,0.142,0.125,0.16,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P18077:Q96IQ7,0.17291329565957225,0.73,P18077,Q96IQ7,0.25,0.304,0.52,71.42,20.652,0.43,0.0,0,26.141,12.0,67.587,66.027,69.147,0.216,0.231,0.2,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9H4F1:Q9NRG7,0.43089124050965466,0.878,Q9H4F1,Q9NRG7,0.86,0.858,0.85,86.89,8.646,0.9,0.527,138656,10.083,5.681,94.663,93.753,95.573,0.95,0.952,0.948,0.786,0,-1,non-interacting pairs,not found in same PDB complex,False
P18124:P39019,0.0,0.0,P18124,P39019,0.07,0.17,0.57,87.33,17.368,0.23,0.0,0,30.434,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9H5V9:Q9P013,0.0,0.0,Q9H5V9,Q9P013,0.06,0.096,0.24,66.54,27.991,0.4,0.0,0,31.611,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,0,non-interacting pairs,no physical interaction,False
P18124:P61513,0.0,0.0,P18124,P61513,0.06,0.176,0.64,89.22,15.962,0.28,0.0,0,30.456,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9H6E4:Q9NZ43,0.21497630117022096,0.759,Q9H6E4,Q9NZ43,0.38,0.386,0.41,66.23,24.342,0.55,0.176,2025,29.001,9.889,75.162,88.297,62.027,0.489,0.424,0.554,0.055,0,-1,non-interacting pairs,not found in same PDB complex,False
P18124:Q9Y3C1,0.0,0.0,P18124,Q9Y3C1,0.06,0.15,0.51,81.66,21.021,0.28,0.0,0,31.451,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,0,non-interacting pairs,no physical interaction,False
Q9H944:Q9NWA0,0.04869264598915906,0.636,Q9H944,Q9NWA0,0.27,0.324,0.54,71.69,20.562,0.46,0.0,0,28.068,12.0,80.335,84.214,76.456,0.227,0.244,0.21,0.014,1,0,HINT-binary-HQ-LC,no physical interaction,False
P18621:P32969,0.020013441631732947,0.559,P18621,P32969,0.21,0.278,0.55,87.7,14.858,0.31,0.144,3107,22.332,10.274,82.135,84.53,79.74,0.55,0.601,0.5,0.071,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NQ50:Q9P0J6,0.018258893561979524,0.559,Q9NQ50,Q9P0J6,0.1,0.156,0.38,70.65,24.528,0.55,0.0,0,30.12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P18621:P46781,0.13263602707550567,0.706,P18621,P46781,0.23,0.294,0.55,87.44,16.23,0.38,0.0,0,24.698,12.0,91.449,95.33,87.567,0.175,0.175,0.174,0.013,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NRX1:Q9Y324,0.03877083076896161,0.636,Q9NRX1,Q9Y324,0.09,0.15,0.39,69.29,23.58,0.28,0.0,0,30.276,12.0,87.39,91.145,83.635,0.116,0.116,0.116,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P35244:P59826,0.06992441560544879,0.667,P35244,P59826,0.24,0.316,0.62,73.04,17.703,0.34,0.0,0,26.572,12.0,62.026,70.295,53.756,0.238,0.216,0.261,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9NRX2:Q9NRX2,0.11115721354161501,0.686,Q9NRX2,Q9NRX2,0.08,0.138,0.37,69.86,22.58,0.3,0.0,0,29.478,12.0,80.113,80.187,80.039,0.132,0.133,0.131,0.01,0,0,non-interacting pairs,no physical interaction,True
P35452:Q96BF3,0.06846578177834485,0.636,P35452,Q96BF3,0.1,0.136,0.28,55.32,28.441,0.48,0.0,0,30.93,12.0,86.797,88.552,85.042,0.141,0.146,0.136,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9NRX2:Q9Y2Q9,0.0641517338412269,0.636,Q9NRX2,Q9Y2Q9,0.23,0.272,0.44,71.22,20.873,0.46,0.017,1,25.793,11.8,81.476,78.808,84.144,0.317,0.318,0.315,0.021,-1,0,unclear (exclude for analysis),no physical interaction,False
P37108:Q9Y5M8,0.15904997230578227,0.73,P37108,Q9Y5M8,0.08,0.152,0.44,65.27,23.085,0.32,0.0,0,29.976,12.0,71.011,80.489,61.533,0.123,0.125,0.122,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NS69:Q9NS69,0.2608107511987838,0.785,Q9NS69,Q9NS69,0.22,0.236,0.3,64.98,23.92,0.65,0.256,3371,25.741,8.927,76.294,77.221,75.367,0.429,0.43,0.427,0.031,-1,0,unclear (exclude for analysis),no physical interaction,True
P38117:Q16651,0.2933307989563118,0.802,P38117,Q16651,0.12,0.192,0.48,73.14,20.672,0.28,0.0,0,28.88,12.0,68.051,68.425,67.676,0.125,0.122,0.128,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9NSD7:Q9Y587,0.16753363082443168,0.73,Q9NSD7,Q9Y587,0.34,0.382,0.55,65.54,19.981,0.48,0.0,0,24.742,12.0,64.103,52.095,76.111,0.216,0.207,0.225,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
P40429:P62263,0.0,0.0,P40429,P62263,0.06,0.154,0.53,88.08,18.179,0.25,0.0,0,30.607,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NV12:Q9UGM5,0.053954908788382286,0.636,Q9NV12,Q9UGM5,0.2,0.268,0.54,70.76,19.74,0.34,0.0,0,26.818,12.0,65.47,64.534,66.405,0.181,0.186,0.176,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P40429:P62861,0.0,0.0,P40429,P62861,0.07,0.168,0.56,87.94,19.283,0.32,0.0,0,30.691,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NVJ2:Q9P0P8,0.21362566348064868,0.759,Q9NVJ2,Q9P0P8,0.4,0.422,0.51,67.35,21.009,0.57,0.164,1742,25.91,10.035,78.966,87.106,70.827,0.285,0.298,0.273,0.017,0,-1,non-interacting pairs,not found in same PDB complex,False
P40429:Q96EY4,0.06895735212154819,0.636,P40429,Q96EY4,0.12,0.194,0.49,75.18,21.029,0.32,0.0,0,29.109,12.0,69.198,95.239,43.157,0.136,0.141,0.131,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NX70:Q9Y3C7,0.12649551947316606,0.706,Q9NX70,Q9Y3C7,0.14,0.168,0.28,58.28,25.513,0.37,0.0,0,29.413,12.0,71.332,60.895,81.769,0.16,0.137,0.182,0.01,1,0,HINT-binary-HQ-LC,no physical interaction,False
P40617:Q6UWT4,0.02429052067128084,0.559,P40617,Q6UWT4,0.09,0.178,0.53,60.16,19.649,0.35,0.0,0,27.808,12.0,45.587,40.89,50.284,0.188,0.192,0.183,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9P0J6:Q9Y2R5,0.0,0.0,Q9P0J6,Q9Y2R5,0.04,0.122,0.45,72.53,22.304,0.34,0.0,0,30.811,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P41223:P62314,0.018258893561979524,0.559,P41223,P62314,0.05,0.118,0.39,61.91,22.133,0.22,0.0,0,30.486,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9Y2B4:Q9Y689,0.30035903359322724,0.812,Q9Y2B4,Q9Y689,0.59,0.556,0.42,54.53,24.582,0.81,0.219,1877,27.956,9.375,74.254,59.457,89.051,0.428,0.398,0.457,0.03,0,-1,non-interacting pairs,not found in same PDB complex,False
P41223:Q9H5V9,0.19518928266492083,0.74,P41223,Q9H5V9,0.61,0.6,0.56,67.18,19.44,0.77,0.412,16491,20.332,7.051,77.014,78.923,75.105,0.64,0.633,0.647,0.092,0,0,non-interacting pairs,no physical interaction,False
Q9Y2R5:Q9Y3D9,0.0,0.0,Q9Y2R5,Q9Y3D9,0.06,0.12,0.36,74.88,22.291,0.26,0.0,0,30.676,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,1,unclear (exclude for analysis),direct physical interaction,False
P41732:Q96C74,0.023783902012243816,0.559,P41732,Q96C74,0.14,0.188,0.38,68.63,20.747,0.22,0.0,0,28.442,12.0,67.892,55.775,80.01,0.212,0.206,0.218,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9Y3D8:Q9Y6J9,0.17714344529735848,0.74,Q9Y3D8,Q9Y6J9,0.29,0.306,0.37,61.28,25.772,0.46,0.0,0,29.349,12.0,64.295,86.965,41.626,0.183,0.205,0.16,0.011,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P42677:P62841,0.0,0.0,P42677,P62841,0.07,0.144,0.44,77.72,19.25,0.26,0.0,0,29.122,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9Y584:Q9Y5J6,0.095237755666893,0.667,Q9Y584,Q9Y5J6,0.1,0.136,0.28,59.54,23.978,0.32,0.0,0,28.238,12.0,66.55,62.818,70.281,0.159,0.158,0.159,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P42677:Q8N9N8,0.050220935879183554,0.636,P42677,Q8N9N8,0.11,0.16,0.36,61.03,22.077,0.31,0.0,0,28.886,12.0,57.489,77.142,37.837,0.204,0.231,0.178,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P83881:Q9UKD2,0.03690150414860499,0.636,P83881,Q9UKD2,0.09,0.166,0.47,75.5,19.216,0.29,0.0,0,29.702,12.0,82.936,93.482,72.39,0.126,0.128,0.123,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P42677:Q9ULC4,0.03758519325407292,0.636,P42677,Q9ULC4,0.1,0.188,0.54,71.38,17.196,0.23,0.0,0,27.502,12.0,64.351,66.334,62.368,0.168,0.178,0.158,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P62906:Q07020,0.0,0.0,P62906,Q07020,0.08,0.156,0.46,75.84,19.212,0.18,0.0,0,30.002,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P42766:P62273,0.0292385233073275,0.559,P42766,P62273,0.45,0.494,0.67,90.39,9.964,0.69,0.05,498,16.51,11.401,94.312,95.22,93.404,0.38,0.417,0.344,0.039,-1,0,unclear (exclude for analysis),no physical interaction,False
P82914:Q9Y399,0.022616980083457697,0.559,P82914,Q9Y399,0.19,0.246,0.47,71.76,21.863,0.42,0.0,0,27.506,12.0,82.592,82.85,82.335,0.17,0.176,0.163,0.012,-1,0,unclear (exclude for analysis),no physical interaction,False
P42766:P63241,0.053206561212797196,0.636,P42766,P63241,0.07,0.138,0.41,79.41,19.486,0.26,0.0,0,30.459,12.0,91.983,93.927,90.039,0.103,0.107,0.099,0.01,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P62910:Q9UNZ5,0.0,0.0,P62910,Q9UNZ5,0.03,0.118,0.47,80.83,21.225,0.37,0.0,0,31.642,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,0,non-interacting pairs,no physical interaction,False
Q00LT1:Q5I0X7,0.23742484373363984,0.778,Q00LT1,Q5I0X7,0.46,0.508,0.7,75.51,13.124,0.65,0.274,1979,23.032,8.708,80.893,67.124,94.663,0.626,0.672,0.58,0.138,0,-1,non-interacting pairs,not found in same PDB complex,False
P62987:Q9NX58,0.22890247200873387,0.778,P62987,Q9NX58,0.16,0.172,0.22,62.38,27.306,0.33,0.0,0,29.738,12.0,71.942,63.982,79.903,0.161,0.17,0.153,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P82933:Q9Y3D3,0.0,0.0,P82933,Q9Y3D3,0.07,0.15,0.47,73.82,21.473,0.28,0.0,0,31.04,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P78417:Q9BYQ0,0.12724012518529043,0.706,P78417,Q9BYQ0,0.23,0.31,0.63,65.46,17.967,0.31,0.02,605,26.549,11.756,63.861,87.04,40.683,0.318,0.273,0.364,0.02,0,-1,non-interacting pairs,not found in same PDB complex,False
P63313:Q53S33,0.04297257748719269,0.636,P63313,Q53S33,0.09,0.168,0.48,67.98,19.185,0.4,0.0,0,25.984,12.0,69.999,54.963,85.034,0.259,0.234,0.284,0.014,0,-1,non-interacting pairs,not found in same PDB complex,False
P82933:Q9BYD1,0.021845393163895378,0.559,P82933,Q9BYD1,0.12,0.194,0.49,76.38,21.171,0.31,0.0,0,30.069,12.0,87.73,87.105,88.355,0.131,0.136,0.126,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
Q01081:Q01081,0.17274468036890314,0.73,Q01081,Q01081,0.17,0.21,0.37,62.53,23.328,0.31,0.0,0,29.181,12.0,53.77,53.813,53.727,0.141,0.14,0.142,0.009,0,0,non-interacting pairs,no physical interaction,True
P68431:Q96A08,0.5120319495505389,0.9,P68431,Q96A08,0.43,0.434,0.45,63.96,20.111,0.63,0.404,9174,21.374,7.152,80.456,80.539,80.373,0.664,0.66,0.668,0.12,-1,0,unclear (exclude for analysis),no physical interaction,False
P63220:Q96L21,0.0,0.0,P63220,Q96L21,0.07,0.184,0.64,87.73,15.366,0.22,0.0,0,29.439,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62979:Q02878,0.11650653358958145,0.686,P62979,Q02878,0.15,0.222,0.51,79.73,21.536,0.41,0.0,0,29.255,12.0,88.911,84.973,92.849,0.151,0.144,0.158,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
P82650:Q9P0J6,0.059335266245601107,0.636,P82650,Q9P0J6,0.07,0.164,0.54,66.81,21.34,0.34,0.0,0,31.063,12.0,87.524,91.591,83.457,0.103,0.104,0.101,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P62899:P62899,0.10397250813783455,0.686,P62899,P62899,0.14,0.206,0.47,78.65,17.734,0.29,0.0,0,26.156,12.0,90.009,90.03,89.987,0.195,0.194,0.196,0.014,0,0,non-interacting pairs,no physical interaction,True
P82914:Q9BYD1,0.01887881352300724,0.559,P82914,Q9BYD1,0.1,0.162,0.41,75.7,22.111,0.34,0.0,0,29.637,12.0,78.61,87.71,69.51,0.175,0.167,0.182,0.012,-1,0,unclear (exclude for analysis),no physical interaction,False
P82664:Q6P1L8,0.0,0.0,P82664,Q6P1L8,0.07,0.138,0.41,72.92,22.614,0.31,0.0,0,30.217,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P82663:Q96A35,0.11982870618010039,0.686,P82663,Q96A35,0.12,0.188,0.46,84.24,18.643,0.32,0.0,0,28.916,12.0,90.835,93.017,88.654,0.123,0.116,0.131,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
Q6P587:Q9NP72,0.09545714013240174,0.667,Q6P587,Q9NP72,0.09,0.176,0.52,77.18,19.032,0.22,0.0,0,29.524,12.0,69.082,82.874,55.291,0.115,0.117,0.114,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q6IEZ7:Q9BWJ2,0.10547837224358254,0.686,Q6IEZ7,Q9BWJ2,0.15,0.264,0.72,73.31,13.373,0.36,0.01,3,28.149,11.883,56.437,74.089,38.785,0.302,0.269,0.335,0.015,0,-1,non-interacting pairs,not found in same PDB complex,False
Q4G0W2:Q8NCU1,0.027401300629162517,0.559,Q4G0W2,Q8NCU1,0.08,0.164,0.5,74.02,20.987,0.3,0.0,0,29.069,12.0,59.115,77.815,40.415,0.2,0.184,0.216,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q6A555:Q92989,0.045766363622723114,0.636,Q6A555,Q92989,0.1,0.22,0.7,80.97,15.175,0.23,0.0,0,29.435,12.0,68.965,47.748,90.183,0.128,0.124,0.132,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5JX71:Q9UNI6,0.058138860687750246,0.636,Q5JX71,Q9UNI6,0.14,0.224,0.56,68.72,20.559,0.44,0.0,0,29.044,12.0,80.263,72.155,88.371,0.233,0.214,0.251,0.014,0,-1,non-interacting pairs,not found in same PDB complex,False
Q6NVV1:Q9UIR0,0.13644993147102313,0.706,Q6NVV1,Q9UIR0,0.25,0.34,0.7,77.4,15.143,0.45,0.171,2365,26.219,9.952,73.177,56.387,89.968,0.364,0.366,0.362,0.024,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5W111:Q8WXQ8,0.33061952514477416,0.834,Q5W111,Q8WXQ8,0.46,0.5,0.66,85.85,15.608,0.54,0.257,1508,26.738,8.915,72.894,62.932,82.856,0.328,0.335,0.32,0.019,0,-1,non-interacting pairs,not found in same PDB complex,False
Q58FF8:Q92522,0.042271859747561105,0.636,Q58FF8,Q92522,0.1,0.134,0.27,51.08,27.596,0.32,0.0,0,30.826,12.0,61.139,45.087,77.19,0.122,0.122,0.121,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5XKR9:Q92633,0.04330314470358092,0.636,Q5XKR9,Q92633,0.16,0.252,0.62,63.61,19.268,0.44,0.0,0,29.045,12.0,50.673,34.333,67.014,0.219,0.195,0.243,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5U4N7:Q9NWQ9,0.06482709180176684,0.636,Q5U4N7,Q9NWQ9,0.22,0.242,0.33,48.33,27.147,0.6,0.067,96,29.548,11.195,69.105,44.841,93.369,0.274,0.268,0.281,0.015,0,-1,non-interacting pairs,not found in same PDB complex,False
Q6P1N9:Q92564,0.17861449488592723,0.74,Q6P1N9,Q92564,0.14,0.218,0.53,79.41,20.168,0.3,0.0,0,30.319,12.0,82.862,91.23,74.494,0.119,0.121,0.117,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q68D20:Q9NQF3,0.054802147092170767,0.636,Q68D20,Q9NQF3,0.29,0.328,0.48,56.48,23.356,0.62,0.047,131,29.044,11.441,70.731,60.805,80.656,0.367,0.353,0.38,0.021,0,-1,non-interacting pairs,not found in same PDB complex,False
Q5T653:Q9BYD2,0.0556385014369607,0.636,Q5T653,Q9BYD2,0.16,0.218,0.45,69.47,23.73,0.4,0.0,0,29.831,12.0,86.664,88.297,85.031,0.139,0.133,0.144,0.011,1,0,HINT-binary-HQ-LC,no physical interaction,False
Q52LA3:Q92784,0.1303029095904769,0.706,Q52LA3,Q92784,0.21,0.228,0.3,62.29,26.662,0.5,0.0,0,30.278,12.0,83.574,91.014,76.134,0.207,0.237,0.176,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
Q4VC31:Q6UWT2,0.11373911161425893,0.686,Q4VC31,Q6UWT2,0.18,0.262,0.59,69.4,17.122,0.43,0.044,275,25.728,11.468,64.73,66.408,63.052,0.265,0.279,0.251,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
Q6GTX8:Q9BYP8,0.09753065411126995,0.667,Q6GTX8,Q9BYP8,0.2,0.23,0.35,53.62,25.842,0.55,0.054,187,28.421,11.346,64.689,83.914,45.465,0.312,0.303,0.322,0.017,0,-1,non-interacting pairs,not found in same PDB complex,False
Q6P1L8:Q8N983,0.05664656587559613,0.636,Q6P1L8,Q8N983,0.62,0.616,0.6,74.64,17.208,0.8,0.356,28214,18.358,7.725,91.898,93.56,90.237,0.941,0.929,0.954,0.703,-1,0,unclear (exclude for analysis),no physical interaction,False
Q6P1L8:Q7Z7F7,0.0500742407110053,0.636,Q6P1L8,Q7Z7F7,0.08,0.146,0.41,67.13,23.5,0.33,0.0,0,30.334,12.0,67.964,87.781,48.146,0.153,0.163,0.143,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
Q6P161:Q9H0U6,0.027457277650457898,0.559,Q6P161,Q9H0U6,0.1,0.172,0.46,76.02,22.378,0.45,0.0,0,29.18,12.0,84.34,75.707,92.973,0.152,0.158,0.147,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
