ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,LIA_std,LIA_median,LIA_top5_avg,LIA_top10_avg,LIA_percentage,SLIRS,SLIRS_area,SLIRS_std,SLIRS_median,SLIRS_top5_avg,SLIRS_top10_avg,SLIRS_percentage,SC_LIS,SC_LIS_area,ICS_bin,ICS_log,mean_interface,compactness,total_interface_weight,LIP,PWID,ZIES,global_mean,global_std,interface_mean_z,ZCP,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
Q8NEV9:Q9NWU5,0.06183514984917693,0.636,Q8NEV9,Q9NWU5,0.07,0.13,0.37,66.75,23.254,0.27,0.0,0,30.675,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.458,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,9.217,0.0,0.0,-0.582,0.021,0.129,-0.158,-0.158,76.363,64.383,88.343,0.1,0.1,0.101,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P01185:P47881,0.20952477788571988,0.759,P01185,P47881,0.18,0.266,0.61,70.16,18.165,0.37,0.0,0,27.352,12.0,0.0,0.0,0.0,0.0,0.0,0.001,116.896,0.002,0.0,0.016,0.015,0.113,0.0,0.0,0.0,0.0,0.001,0.0,118.377,0.0,0.0,-0.823,0.021,0.134,-0.15,-0.15,74.163,69.65,78.676,0.16,0.152,0.167,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NGF1:Q9BYQ8,0.0,0.0,Q8NGF1,Q9BYQ8,0.09,0.184,0.56,58.52,21.53,0.4,0.0,0,30.674,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.975,0.0,0.0,0.001,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,15.463,0.0,0.0,-0.712,0.016,0.121,-0.131,-0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
P01215:Q9BYD6,0.10361910243258658,0.686,P01215,Q9BYD6,0.18,0.236,0.46,62.65,21.916,0.4,0.0,0,27.536,12.0,0.0,0.0,0.0,0.0,0.0,0.002,127.697,0.005,0.0,0.1,0.097,0.169,0.0,0.0,0.0,0.0,0.002,0.0,132.9,0.0,0.0,-0.608,0.019,0.127,-0.15,-0.15,71.045,75.805,66.286,0.174,0.179,0.169,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NGL2:Q9UBQ5,0.08902468965792269,0.667,Q8NGL2,Q9UBQ5,0.12,0.206,0.55,75.93,18.42,0.24,0.0,0,28.574,12.0,0.0,0.0,0.0,0.0,0.0,0.0,43.376,0.0,0.0,0.003,0.003,0.032,0.0,0.0,0.0,0.0,0.0,0.0,43.422,0.0,0.0,-0.854,0.02,0.13,-0.147,-0.147,69.829,57.625,82.033,0.122,0.122,0.122,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P01270:P55344,0.07898752444507252,0.667,P01270,P55344,0.09,0.174,0.51,63.37,20.79,0.38,0.0,0,28.583,12.0,0.0,0.0,0.0,0.0,0.0,0.001,47.184,0.003,0.0,0.052,0.049,0.119,0.0,0.0,0.0,0.0,0.001,0.0,54.272,0.0,0.0,-0.679,0.033,0.161,-0.193,-0.193,63.129,58.54,67.718,0.168,0.169,0.166,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NH19:Q9NWW6,0.07052599447799397,0.667,Q8NH19,Q9NWW6,0.2,0.276,0.58,79.1,16.48,0.27,0.0,0,26.397,12.0,0.0,0.0,0.0,0.0,0.0,0.004,466.918,0.012,0.001,0.304,0.28,0.39,0.0,0.0,0.0,0.0,0.004,0.0,434.914,0.0,0.0,-0.924,0.021,0.133,-0.152,-0.152,75.139,61.722,88.556,0.216,0.182,0.25,0.013,0,-1,non-interacting pairs,not found in same PDB complex,False
P01270:Q9BRJ6,0.4495411593024249,0.886,P01270,Q9BRJ6,0.31,0.338,0.45,65.94,23.438,0.67,0.164,3093,25.933,10.035,0.124,0.158,0.553,0.532,6.932,0.079,3525.768,0.208,0.0,1.061,1.056,7.902,0.047,2078.237,1.0,0.05,0.077,0.659,3417.702,5.687,0.005,-0.3,0.025,0.149,-0.159,-0.159,77.813,58.798,96.828,0.413,0.421,0.405,0.035,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8NHW6:Q9NW64,0.2842463464118373,0.802,Q8NHW6,Q9NW64,0.54,0.508,0.38,59.32,24.033,0.66,0.254,11618,24.693,8.955,0.129,0.258,0.603,0.592,15.54,0.139,10404.825,0.297,0.0,1.064,1.06,13.918,0.102,7607.607,1.0,0.123,0.14,0.882,10454.648,5.085,0.017,-0.046,0.017,0.119,-0.119,-0.119,74.877,80.092,69.663,0.592,0.583,0.601,0.068,0,-1,non-interacting pairs,not found in same PDB complex,False
P16410:Q8IUA0,0.18571562631076705,0.74,P16410,Q8IUA0,0.1,0.152,0.36,66.68,23.7,0.32,0.0,0,29.61,12.0,0.0,0.0,0.0,0.0,0.0,0.0,37.102,0.001,0.0,0.012,0.012,0.035,0.0,0.0,0.0,0.0,0.0,0.0,39.141,0.0,0.0,-0.511,0.019,0.129,-0.142,-0.142,70.624,71.709,69.539,0.137,0.148,0.127,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8TAM6:Q9BYP9,0.02574045515339628,0.559,Q8TAM6,Q9BYP9,0.15,0.152,0.16,42.45,29.425,0.59,0.0,0,30.908,12.0,0.0,0.0,0.0,0.0,0.0,0.0,37.924,0.004,0.0,0.152,0.142,0.043,0.0,0.0,0.0,0.0,0.001,0.0,60.104,0.0,0.0,-0.199,0.014,0.102,-0.128,-0.128,48.874,53.064,44.683,0.248,0.244,0.251,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P16949:Q9BYS1,0.01874567518236586,0.559,P16949,Q9BYS1,0.06,0.098,0.25,53.34,26.837,0.5,0.0,0,30.845,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.379,0.0,0.0,0.008,0.007,0.01,0.0,0.0,0.0,0.0,0.0,0.0,6.991,0.0,0.0,-0.364,0.025,0.134,-0.18,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8WUX2:Q92597,0.22238976000888785,0.778,Q8WUX2,Q92597,0.25,0.304,0.52,72.6,20.769,0.39,0.011,3,29.325,11.867,0.014,0.017,0.022,0.022,0.002,0.001,203.139,0.014,0.0,0.429,0.406,0.14,0.0,0.738,1.0,0.0,0.002,0.006,251.75,0.549,0.0,-0.702,0.018,0.125,-0.133,-0.133,57.912,77.91,37.914,0.227,0.235,0.218,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P17096:Q9UNX3,0.0,0.0,P17096,Q9UNX3,0.04,0.134,0.51,73.49,21.701,0.4,0.0,0,30.976,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.329,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,2.476,0.0,0.0,-0.705,0.031,0.162,-0.193,-0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
Q8WVF1:Q9Y6M9,0.035142792193502984,0.636,Q8WVF1,Q9Y6M9,0.13,0.206,0.51,71.08,21.498,0.28,0.0,0,29.664,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.515,0.0,0.0,0.008,0.008,0.023,0.0,0.0,0.0,0.0,0.0,0.0,32.904,0.0,0.0,-0.662,0.016,0.117,-0.138,-0.138,64.379,45.794,82.964,0.118,0.107,0.129,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
P17540:Q9BYW3,0.1577824206346633,0.73,P17540,Q9BYW3,0.13,0.242,0.69,77.46,16.237,0.35,0.0,0,29.636,12.0,0.0,0.0,0.0,0.0,0.0,0.0,24.459,0.001,0.0,0.016,0.015,0.026,0.0,0.0,0.0,0.0,0.0,0.0,25.237,0.0,0.0,-1.019,0.019,0.13,-0.137,-0.137,63.711,85.566,41.856,0.125,0.137,0.114,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9H2Z4:Q9UHQ4,0.07255564618103699,0.667,Q9H2Z4,Q9UHQ4,0.18,0.208,0.32,63.92,27.611,0.54,0.087,964,30.757,10.96,0.076,0.1,0.332,0.32,0.565,0.006,1058.394,0.053,0.0,0.862,0.859,0.62,0.003,486.372,1.0,0.004,0.007,0.54,1175.036,3.568,0.0,-0.329,0.013,0.106,-0.116,-0.116,76.532,67.915,85.149,0.355,0.401,0.31,0.025,0,-1,non-interacting pairs,not found in same PDB complex,False
P18077:P62847,0.0,0.0,P18077,P62847,0.04,0.124,0.46,88.45,18.29,0.17,0.0,0,31.35,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,1.851,0.0,0.0,-0.93,0.038,0.184,-0.206,-0.206,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9H467:Q9UJ72,0.3625408229840616,0.843,Q9H467,Q9UJ72,0.15,0.232,0.56,75.2,21.418,0.36,0.0,0,29.295,12.0,0.0,0.0,0.0,0.0,0.0,0.0,58.354,0.001,0.0,0.023,0.019,0.031,0.0,0.0,0.0,0.0,0.0,0.0,57.183,0.0,0.0,-0.659,0.016,0.118,-0.128,-0.128,76.282,62.845,89.719,0.142,0.125,0.16,0.01,0,-1,non-interacting pairs,not found in same PDB complex,False
P18077:Q96IQ7,0.17291329565957225,0.73,P18077,Q96IQ7,0.25,0.304,0.52,71.42,20.652,0.43,0.0,0,26.141,12.0,0.0,0.0,0.0,0.0,0.0,0.013,930.07,0.04,0.0,0.527,0.507,1.293,0.0,0.0,0.0,0.0,0.012,0.0,855.425,0.0,0.0,-0.629,0.021,0.137,-0.147,-0.147,67.587,66.027,69.147,0.216,0.231,0.2,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9H4F1:Q9NRG7,0.43089124050965466,0.878,Q9H4F1,Q9NRG7,0.86,0.858,0.85,86.89,8.646,0.9,0.527,138656,10.083,5.681,0.169,0.567,0.868,0.863,78.349,0.876,154987.155,0.444,1.117,1.193,1.193,87.577,0.701,123972.872,1.0,0.732,0.745,0.982,131912.684,4.366,0.216,-0.105,0.018,0.129,-0.135,-0.135,94.663,93.753,95.573,0.95,0.952,0.948,0.786,0,-1,non-interacting pairs,not found in same PDB complex,False
P18124:P39019,0.0,0.0,P18124,P39019,0.07,0.17,0.57,87.33,17.368,0.23,0.0,0,30.434,12.0,0.0,0.0,0.0,0.0,0.0,0.0,9.619,0.0,0.0,0.002,0.002,0.013,0.0,0.0,0.0,0.0,0.0,0.0,8.287,0.0,0.0,-0.963,0.025,0.152,-0.165,-0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9H5V9:Q9P013,0.0,0.0,Q9H5V9,Q9P013,0.06,0.096,0.24,66.54,27.991,0.4,0.0,0,31.611,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.995,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,5.611,0.0,0.0,-0.335,0.017,0.116,-0.146,-0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,0,non-interacting pairs,no physical interaction,False
P18124:P61513,0.0,0.0,P18124,P61513,0.06,0.176,0.64,89.22,15.962,0.28,0.0,0,30.456,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.514,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,4.681,0.0,0.0,-1.07,0.028,0.16,-0.174,-0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9H6E4:Q9NZ43,0.21497630117022096,0.759,Q9H6E4,Q9NZ43,0.38,0.386,0.41,66.23,24.342,0.55,0.176,2025,29.001,9.889,0.143,0.217,0.55,0.534,1.707,0.019,2253.66,0.104,0.0,1.06,1.056,1.9,0.01,1149.438,1.0,0.013,0.02,0.646,2393.313,4.6,0.002,-0.443,0.019,0.126,-0.142,-0.142,75.162,88.297,62.027,0.489,0.424,0.554,0.055,0,-1,non-interacting pairs,not found in same PDB complex,False
P18124:Q9Y3C1,0.0,0.0,P18124,Q9Y3C1,0.06,0.15,0.51,81.66,21.021,0.28,0.0,0,31.451,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.586,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,5.313,0.0,0.0,-0.74,0.021,0.136,-0.155,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,0,non-interacting pairs,no physical interaction,False
Q9H944:Q9NWA0,0.04869264598915906,0.636,Q9H944,Q9NWA0,0.27,0.324,0.54,71.69,20.562,0.46,0.0,0,28.068,12.0,0.0,0.0,0.0,0.0,0.0,0.002,130.814,0.006,0.0,0.125,0.114,0.211,0.0,0.0,0.0,0.0,0.002,0.0,127.934,0.0,0.0,-0.685,0.025,0.142,-0.174,-0.174,80.335,84.214,76.456,0.227,0.244,0.21,0.014,1,0,HINT-binary-HQ-LC,no physical interaction,False
P18621:P32969,0.02001344163173295,0.559,P18621,P32969,0.21,0.278,0.55,87.7,14.858,0.31,0.144,3107,22.332,10.274,0.098,0.15,0.442,0.427,4.397,0.068,4823.097,0.178,0.007,1.102,1.096,6.826,0.036,2526.222,1.0,0.031,0.059,0.524,4203.902,2.236,0.003,-0.816,0.026,0.154,-0.171,-0.171,82.135,84.53,79.74,0.55,0.601,0.5,0.071,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NQ50:Q9P0J6,0.018258893561979524,0.559,Q9NQ50,Q9P0J6,0.1,0.156,0.38,70.65,24.528,0.55,0.0,0,30.12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.078,0.001,0.0,0.015,0.013,0.026,0.0,0.0,0.0,0.0,0.0,0.0,10.659,0.0,0.0,-0.489,0.021,0.141,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P18621:P46781,0.13263602707550567,0.706,P18621,P46781,0.23,0.294,0.55,87.44,16.23,0.38,0.0,0,24.698,12.0,0.0,0.0,0.0,0.0,0.0,0.006,396.549,0.009,0.003,0.117,0.111,0.555,0.0,0.0,0.0,0.0,0.005,0.0,333.522,0.0,0.0,-0.833,0.025,0.151,-0.167,-0.167,91.449,95.33,87.567,0.175,0.175,0.174,0.013,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NRX1:Q9Y324,0.03877083076896162,0.636,Q9NRX1,Q9Y324,0.09,0.15,0.39,69.29,23.58,0.28,0.0,0,30.276,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.712,0.0,0.0,0.001,0.001,0.013,0.0,0.0,0.0,0.0,0.0,0.0,13.092,0.0,0.0,-0.573,0.021,0.128,-0.162,-0.162,87.39,91.145,83.635,0.116,0.116,0.116,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P35244:P59826,0.06992441560544879,0.667,P35244,P59826,0.24,0.316,0.62,73.04,17.703,0.34,0.0,0,26.572,12.0,0.0,0.0,0.0,0.0,0.0,0.006,705.76,0.024,0.0,0.404,0.393,0.618,0.0,0.0,0.0,0.0,0.007,0.0,782.068,0.0,0.0,-0.817,0.018,0.122,-0.138,-0.138,62.026,70.295,53.756,0.238,0.216,0.261,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9NRX2:Q9NRX2,0.11115721354161501,0.686,Q9NRX2,Q9NRX2,0.08,0.138,0.37,69.86,22.58,0.3,0.0,0,29.478,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.081,0.0,0.0,0.004,0.004,0.026,0.0,0.0,0.0,0.0,0.0,0.0,15.972,0.0,0.0,-0.558,0.027,0.15,-0.166,-0.166,80.113,80.187,80.039,0.132,0.133,0.131,0.01,0,0,non-interacting pairs,no physical interaction,True
P35452:Q96BF3,0.06846578177834485,0.636,P35452,Q96BF3,0.1,0.136,0.28,55.32,28.441,0.48,0.0,0,30.93,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.669,0.0,0.0,0.008,0.007,0.016,0.0,0.0,0.0,0.0,0.0,0.0,24.374,0.0,0.0,-0.304,0.012,0.106,-0.114,-0.114,86.797,88.552,85.042,0.141,0.146,0.136,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9NRX2:Q9Y2Q9,0.0641517338412269,0.636,Q9NRX2,Q9Y2Q9,0.23,0.272,0.44,71.22,20.873,0.46,0.017,1,25.793,11.8,0.0,0.033,0.033,0.033,0.002,0.012,786.206,0.033,0.001,0.497,0.47,1.201,0.0,0.649,1.0,0.0,0.012,0.001,767.758,0.0,0.0,-0.589,0.023,0.143,-0.162,-0.162,81.476,78.808,84.144,0.317,0.318,0.315,0.021,-1,0,unclear (exclude for analysis),no physical interaction,False
P37108:Q9Y5M8,0.15904997230578227,0.73,P37108,Q9Y5M8,0.08,0.152,0.44,65.27,23.085,0.32,0.0,0,29.976,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.56,0.0,0.0,0.002,0.002,0.014,0.0,0.0,0.0,0.0,0.0,0.0,11.675,0.0,0.0,-0.581,0.023,0.134,-0.168,-0.168,71.011,80.489,61.533,0.123,0.125,0.122,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NS69:Q9NS69,0.2608107511987838,0.785,Q9NS69,Q9NS69,0.22,0.236,0.3,64.98,23.92,0.65,0.256,3371,25.741,8.927,0.13,0.267,0.557,0.55,8.359,0.082,3287.015,0.225,0.0,0.966,0.964,8.151,0.053,2132.893,1.0,0.067,0.083,0.801,3351.389,6.215,0.009,-0.223,0.028,0.149,-0.163,-0.163,76.294,77.221,75.367,0.429,0.43,0.427,0.031,-1,0,unclear (exclude for analysis),no physical interaction,True
P38117:Q16651,0.2933307989563118,0.802,P38117,Q16651,0.12,0.192,0.48,73.14,20.672,0.28,0.0,0,28.88,12.0,0.0,0.0,0.0,0.0,0.0,0.0,57.481,0.0,0.0,0.006,0.005,0.033,0.0,0.0,0.0,0.0,0.0,0.0,55.82,0.0,0.0,-0.695,0.017,0.122,-0.137,-0.137,68.051,68.425,67.676,0.125,0.122,0.128,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9NSD7:Q9Y587,0.16753363082443168,0.73,Q9NSD7,Q9Y587,0.34,0.382,0.55,65.54,19.981,0.48,0.0,0,24.742,12.0,0.0,0.0,0.0,0.0,0.0,0.006,816.596,0.012,0.002,0.327,0.299,0.605,0.0,0.0,0.0,0.0,0.006,0.0,846.651,0.0,0.0,-0.631,0.016,0.115,-0.131,-0.131,64.103,52.095,76.111,0.216,0.207,0.225,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
P40429:P62263,0.0,0.0,P40429,P62263,0.06,0.154,0.53,88.08,18.179,0.25,0.0,0,30.607,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.413,0.0,0.0,0.001,0.001,0.012,0.0,0.0,0.0,0.0,0.0,0.0,6.421,0.0,0.0,-0.911,0.028,0.16,-0.175,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NV12:Q9UGM5,0.053954908788382286,0.636,Q9NV12,Q9UGM5,0.2,0.268,0.54,70.76,19.74,0.34,0.0,0,26.818,12.0,0.0,0.0,0.0,0.0,0.0,0.002,316.194,0.004,0.001,0.069,0.066,0.224,0.0,0.0,0.0,0.0,0.002,0.0,302.079,0.0,0.0,-0.702,0.017,0.121,-0.14,-0.14,65.47,64.534,66.405,0.181,0.186,0.176,0.011,0,-1,non-interacting pairs,not found in same PDB complex,False
P40429:P62861,0.0,0.0,P40429,P62861,0.07,0.168,0.56,87.94,19.283,0.32,0.0,0,30.691,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.862,0.0,0.0,0.001,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,5.194,0.0,0.0,-0.855,0.027,0.155,-0.176,-0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NVJ2:Q9P0P8,0.21362566348064868,0.759,Q9NVJ2,Q9P0P8,0.4,0.422,0.51,67.35,21.009,0.57,0.164,1742,25.91,10.035,0.125,0.158,0.527,0.511,1.951,0.024,2158.091,0.102,0.001,0.944,0.932,2.417,0.009,798.26,1.0,0.014,0.027,0.529,2384.835,4.256,0.001,-0.555,0.022,0.137,-0.148,-0.148,78.966,87.106,70.827,0.285,0.298,0.273,0.017,0,-1,non-interacting pairs,not found in same PDB complex,False
P40429:Q96EY4,0.06895735212154819,0.636,P40429,Q96EY4,0.12,0.194,0.49,75.18,21.029,0.32,0.0,0,29.109,12.0,0.0,0.0,0.0,0.0,0.0,0.0,21.275,0.0,0.0,0.006,0.006,0.026,0.0,0.0,0.0,0.0,0.0,0.0,21.142,0.0,0.0,-0.674,0.023,0.139,-0.164,-0.164,69.198,95.239,43.157,0.136,0.141,0.131,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9NX70:Q9Y3C7,0.12649551947316606,0.706,Q9NX70,Q9Y3C7,0.14,0.168,0.28,58.28,25.513,0.37,0.0,0,29.413,12.0,0.0,0.0,0.0,0.0,0.0,0.0,24.907,0.002,0.0,0.053,0.05,0.048,0.0,0.0,0.0,0.0,0.001,0.0,27.863,0.0,0.0,-0.413,0.026,0.144,-0.166,-0.166,71.332,60.895,81.769,0.16,0.137,0.182,0.01,1,0,HINT-binary-HQ-LC,no physical interaction,False
P40617:Q6UWT4,0.02429052067128084,0.559,P40617,Q6UWT4,0.09,0.178,0.53,60.16,19.649,0.35,0.0,0,27.808,12.0,0.0,0.0,0.0,0.0,0.0,0.001,33.799,0.002,0.0,0.027,0.026,0.097,0.0,0.0,0.0,0.0,0.001,0.0,43.304,0.0,0.0,-0.669,0.033,0.17,-0.187,-0.187,45.587,40.89,50.284,0.188,0.192,0.183,0.009,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9P0J6:Q9Y2R5,0.0,0.0,Q9P0J6,Q9Y2R5,0.04,0.122,0.45,72.53,22.304,0.34,0.0,0,30.811,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.596,0.0,0.0,0.002,0.002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.567,0.0,0.0,-0.639,0.034,0.175,-0.193,-0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P41223:P62314,0.018258893561979524,0.559,P41223,P62314,0.05,0.118,0.39,61.91,22.133,0.22,0.0,0,30.486,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.193,0.0,0.0,0.001,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,3.719,0.0,0.0,-0.664,0.034,0.162,-0.209,-0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9Y2B4:Q9Y689,0.30035903359322724,0.812,Q9Y2B4,Q9Y689,0.59,0.556,0.42,54.53,24.582,0.81,0.219,1877,27.956,9.375,0.143,0.208,0.588,0.562,1.808,0.021,2155.347,0.112,0.0,1.068,1.063,2.076,0.012,1195.291,1.0,0.014,0.021,0.661,2150.745,4.314,0.002,-0.401,0.017,0.121,-0.131,-0.131,74.254,59.457,89.051,0.428,0.398,0.457,0.03,0,-1,non-interacting pairs,not found in same PDB complex,False
P41223:Q9H5V9,0.19518928266492086,0.74,P41223,Q9H5V9,0.61,0.6,0.56,67.18,19.44,0.77,0.412,16491,20.332,7.051,0.194,0.433,0.833,0.826,25.793,0.276,17676.637,0.418,0.005,1.19,1.19,27.647,0.194,12374.845,1.0,0.227,0.259,0.874,16579.38,4.714,0.052,-0.111,0.024,0.141,-0.162,-0.162,77.014,78.923,75.105,0.64,0.633,0.647,0.092,0,0,non-interacting pairs,no physical interaction,False
Q9Y2R5:Q9Y3D9,0.0,0.0,Q9Y2R5,Q9Y3D9,0.06,0.12,0.36,74.88,22.291,0.26,0.0,0,30.676,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.478,0.0,0.0,0.001,0.001,0.011,0.0,0.0,0.0,0.0,0.0,0.0,5.245,0.0,0.0,-0.656,0.026,0.149,-0.173,-0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,1,unclear (exclude for analysis),direct physical interaction,False
P41732:Q96C74,0.023783902012243816,0.559,P41732,Q96C74,0.14,0.188,0.38,68.63,20.747,0.22,0.0,0,28.442,12.0,0.0,0.0,0.0,0.0,0.0,0.001,80.72,0.002,0.0,0.053,0.049,0.07,0.0,0.0,0.0,0.0,0.001,0.0,85.76,0.0,0.0,-0.671,0.021,0.128,-0.16,-0.16,67.892,55.775,80.01,0.212,0.206,0.218,0.012,0,-1,non-interacting pairs,not found in same PDB complex,False
Q9Y3D8:Q9Y6J9,0.17714344529735848,0.74,Q9Y3D8,Q9Y6J9,0.29,0.306,0.37,61.28,25.772,0.46,0.0,0,29.349,12.0,0.0,0.0,0.0,0.0,0.0,0.002,343.675,0.007,0.0,0.16,0.152,0.161,0.0,0.0,0.0,0.0,0.002,0.0,341.277,0.0,0.0,-0.423,0.012,0.095,-0.123,-0.123,64.295,86.965,41.626,0.183,0.205,0.16,0.011,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P42677:P62841,0.0,0.0,P42677,P62841,0.07,0.144,0.44,77.72,19.25,0.26,0.0,0,29.122,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.478,0.0,0.0,0.003,0.002,0.027,0.0,0.0,0.0,0.0,0.0,0.0,6.272,0.0,0.0,-0.788,0.037,0.177,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
Q9Y584:Q9Y5J6,0.095237755666893,0.667,Q9Y584,Q9Y5J6,0.1,0.136,0.28,59.54,23.978,0.32,0.0,0,28.238,12.0,0.0,0.0,0.0,0.0,0.0,0.001,24.59,0.001,0.0,0.02,0.019,0.062,0.0,0.0,0.0,0.0,0.001,0.0,28.33,0.0,0.0,-0.452,0.031,0.151,-0.186,-0.186,66.55,62.818,70.281,0.159,0.158,0.159,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P42677:Q8N9N8,0.050220935879183554,0.636,P42677,Q8N9N8,0.11,0.16,0.36,61.03,22.077,0.31,0.0,0,28.886,12.0,0.0,0.0,0.0,0.0,0.0,0.001,23.885,0.005,0.0,0.141,0.128,0.086,0.0,0.0,0.0,0.0,0.001,0.0,31.454,0.0,0.0,-0.615,0.035,0.163,-0.201,-0.201,57.489,77.142,37.837,0.204,0.231,0.178,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P83881:Q9UKD2,0.03690150414860499,0.636,P83881,Q9UKD2,0.09,0.166,0.47,75.5,19.216,0.29,0.0,0,29.702,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.392,0.0,0.0,0.001,0.001,0.017,0.0,0.0,0.0,0.0,0.0,0.0,7.955,0.0,0.0,-0.827,0.026,0.146,-0.176,-0.176,82.936,93.482,72.39,0.126,0.128,0.123,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
