"ppi","gene1","gene2","co.expression","BP","CC","MF","str_label","non_struct_label","is_preppi","Total"
"P08865:P15880","RPS2","RPSA",0.959347224102874,0.559615384615385,0.749867724867725,0.782051282051282,1,1,1,161967.1947071
"P15880:P62244","RPS2","RPS15A",0.924799753979332,0.602777777777778,0.739021164021164,0.691176470588235,1,1,1,615962.039198528
"P15880:P61247","RPS2","RPS3A",0.902267220540533,0.663257575757576,0.685079365079365,0.694444444444444,1,-1,1,10132.5479976123
"P46781:P46782","RPS5","RPS9",0.969751353090046,0.602380952380952,0.669426406926407,0.553333333333333,0,-1,1,5475.74370818906
"P39019:P63244","RPS19","RACK1",0.892994614192868,0.123265806905513,0.502380952380952,0.835188261351052,0,1,1,99.0707568869023
"P39019:P62857","RPS19","RPS28",0.961373120083489,0.522077922077922,0.706692406692407,0.653846153846154,0,-1,1,27181.8207239616
"P46782:P62244","RPS5","RPS15A",0.954934827729356,0.602777777777778,0.739021164021164,0.691176470588235,0,-1,1,10735.047000026
"P46782:P63220","RPS5","RPS21",0.929847411653795,0.777777777777778,0.734013605442177,0.727272727272727,1,1,1,1455.36343837808
"P46782:P62277","RPS5","RPS13",0.958034745489049,0.699404761904762,0.676785714285714,0.635555555555555,0,-1,1,4102.02884561838
"P25398:P46782","RPS5","RPS12",0.970298544432179,0.647435897435897,0.735070785070785,0.53125,0,-1,1,2104.12666256244
"P08708:P46782","RPS5","RPS17",0.962681352754546,0.467857142857143,0.760644257703081,0.761904761904762,0,-1,1,5775.16823105362
"P42677:P46782","RPS5","RPS27",0.857258126397365,0.596428571428571,0.817238095238095,0.581168831168831,0,-1,1,1071.16579506705
"P46782:P61247","RPS5","RPS3A",0.960018243331144,0.663257575757576,0.685079365079365,0.694444444444444,0,-1,1,49204.5861272607
"P46782:P60866","RPS5","RPS20",0.912141976307292,0.846153846153846,0.77994227994228,0.702380952380952,0,-1,1,10592.7132212762
"P46782:P62269","RPS5","RPS18",0.960539493381355,1,0.691950113378685,0.62,0,-1,1,3666.51163392404
"P08865:P46782","RPS5","RPSA",0.89186847848509,0.559615384615385,0.749867724867725,0.782051282051282,1,1,1,243.51193416606
"P46782:P62841","RPS5","RPS15",0.939800902945872,0.467097069597069,0.745502645502645,0.542857142857143,1,-1,1,8017.35610535176
"P46782:P46783","RPS5","RPS10",0.960658211223698,1,0.766802721088435,0.7,0,-1,1,46659.9644249159
"P46782:P63244","RPS5","RACK1",0.946444890539058,0.13107350982351,0.502380952380952,0.835188261351052,0,1,1,828.005669943006
"P39019:P63220","RPS19","RPS21",0.954556334653242,0.777777777777778,0.734013605442177,0.727272727272727,0,-1,1,3067.09286860006
"P23396:P46782","RPS5","RPS3",0.961205389036919,0.195423442482266,0.566011042097999,0.626204994192799,0,-1,1,2569.67920021276
"P46782:P46782","RPS5","RPS5",1,0.66,0.704072681704261,0.576923076923077,0,0,0,0
"P39019:P62273","RPS19","RPS29",0.913160255219129,1,0.732789115646258,0.555555555555556,0,-1,1,313.372264584272
"P62906:Q9UJY4","RPL10A","GGA2",0.51543715340564,0.108181818181818,0.221875,0.87962962962963,-1,0,1,8.8280656191
"P25398:P39019","RPS19","RPS12",0.957131802293193,0.647435897435897,0.735070785070785,0.53125,0,-1,1,1470.575398692
"P39019:P60866","RPS19","RPS20",0.901409861361541,0.846153846153846,0.77994227994228,0.702380952380952,0,-1,1,3028.89709027315
"P39019:P39019","RPS19","RPS19",1,0.311190259903495,0.676079734219269,0.701754385964912,0,-1,0,0
"P62847:P63244","RPS24","RACK1",0.943781545544153,0.123265806905513,0.502380952380952,0.789308785529716,0,-1,1,324.108400547309
"P39019:P46783","RPS19","RPS10",0.961984618216121,1,0.766802721088435,0.7,0,-1,1,28745.5562423448
"P08865:P39019","RPS19","RPSA",0.946756532731228,0.559615384615385,0.749867724867725,0.782051282051282,0,-1,1,7748.90294832775
"P39019:P62244","RPS19","RPS15A",0.956689667888187,0.602777777777778,0.739021164021164,0.691176470588235,0,-1,1,10856.9423065943
"P23396:P39019","RPS19","RPS3",0.94402075202183,0.195423442482266,0.566011042097999,0.626204994192799,0,-1,1,2650.89934393428
"P62847:P63220","RPS24","RPS21",0.87044989461205,0.777777777777778,0.734013605442177,0.709090909090909,0,-1,1,1379.13235757198
"P39019:P42677","RPS19","RPS27",0.885271323657232,0.596428571428571,0.817238095238095,0.581168831168831,0,-1,1,581.344925460124
"P39019:P62249","RPS19","RPS16",0.898495052239097,0.559487734487734,0.700375939849624,0.5625,1,1,1,14581694.0653898
"P39019:P62269","RPS19","RPS18",0.961273982121237,1,0.691950113378685,0.62,1,1,1,398848.603430401
"P39019:P61247","RPS19","RPS3A",0.920699714853931,0.663257575757576,0.685079365079365,0.694444444444444,0,-1,1,77791.8967565695
"P08708:P39019","RPS19","RPS17",0.963544643657506,0.467857142857143,0.760644257703081,0.761904761904762,0,-1,1,160464.910584299
"P39019:P46781","RPS19","RPS9",0.927526960828417,0.602380952380952,0.669426406926407,0.553333333333333,0,-1,1,394.4843416503
"P39019:P46782","RPS19","RPS5",0.949624815364947,0.66,0.704072681704261,0.576923076923077,1,1,1,10212.3366128674
"P39019:P62841","RPS19","RPS15",0.908748632090507,0.467097069597069,0.745502645502645,0.542857142857143,0,-1,1,2410.2337568694
"P39019:P62277","RPS19","RPS13",0.930416657079627,0.699404761904762,0.676785714285714,0.635555555555555,0,1,1,29853.0961781127
"Q8TBB1:Q8TBB1","LNX1","LNX1",1,0.398148148148148,0.566666666666667,0.995570264765784,1,1,0,0
"P61088:P61088","UBE2N","UBE2N",1,0.355496517666542,0.654952380952381,0.857689210950081,1,1,0,0
"P0CG47:Q8TBB1","UBB","LNX1",-0.0179667634058189,0.40530303030303,0.566666666666667,0.995570264765784,1,1,1,203.454611470103
"P0CG47:P0CG47","UBB","UBB",1,0.176757794958032,0.832727852135118,0.974242424242424,1,1,0,0
"P0CG47:P61088","UBE2N","UBB",0.560171344306292,0.124129138835021,0.832727852135118,0.974242424242424,1,1,1,41722.1593085039
"P62308:P62308","SNRPG","SNRPG",1,0.687585034013605,0.459054834054834,0.903125,0,0,0,0
"Q92542:Q92542","NCSTN","NCSTN",1,0.408401793913158,0.567989417989418,0.828125,0,0,0,0
"Q01718:Q01718","MC2R","MC2R",1,0.722222222222222,0.904761904761905,0.763888888888889,0,0,0,0
"P08754:Q8TCY5","GNAI3","MRAP",0.0350990641893011,0.124074074074074,0.422222222222222,0.65,0,0,1,0.17767240407
"O43502:O43543","RAD51C","XRCC2",0.623653506138233,0.243273719744308,0.800641025641026,0.845508658008658,1,1,1,8618.19188198719
"P62873:Q01718","MC2R","GNB1",-0.0476251801180366,0.472622053872054,0.451414427157001,0.886574074074074,1,1,1,73.8507520993777
"P08754:P62873","GNB1","GNAI3",0.387489392948048,0.432984475841619,0.730476190476191,0.750252525252525,1,1,1,175114.212404735
"P49768:Q92542","NCSTN","PSEN1",0.522449929697457,0.1946316154557,0.465663580246914,0.891816686024003,1,1,1,69795617.0138021
"Q01718:Q8TCY5","MC2R","MRAP",0.929207387555943,0.15,0.377777777777778,0.65,1,1,1,297.246539398931
"P59768:Q01718","MC2R","GNG2",-0.0721242646258369,0.361363636363636,0.918674698795181,1,0,-1,1,3.8216288
"P08754:P59768","GNAI3","GNG2",0.0599215709731874,0.368571428571429,0.921686746987952,1,0,-1,1,12.1562495420668
"Q8TCY5:Q8TCY5","MRAP","MRAP",1,0.544159544159544,0.72962962962963,0.65,0,1,0,0
"P59768:Q8TCY5","MRAP","GNG2",-0.0130675480157221,0.107460317460317,0.918674698795181,1,0,-1,1,3.8216288
"O43543:O43543","XRCC2","XRCC2",1,0.243273719744308,0.800641025641026,0.845508658008658,0,0,0,0
"O75771:O75771","RAD51D","RAD51D",1,0.503719008264463,0.762962962962963,0.905568086883877,0,-1,0,0
"P08754:Q01718","MC2R","GNAI3",-0.0436079923387162,0.432984475841619,0.694897959183673,0.750252525252525,0,0,1,6.399148
"P62873:Q8TCY5","GNB1","MRAP",-0.0179832382231074,0.158333333333333,0.422222222222222,0.65,0,-1,1,1.0144080684
"P08754:P08754","GNAI3","GNAI3",1,0.423299319727891,0.730476190476191,0.750252525252525,1,1,0,0
"O43502:O75771","RAD51C","RAD51D",0.81575141496971,0.503719008264463,0.762962962962963,0.905568086883877,1,1,1,28252.9755103038
"O43502:O43502","RAD51C","RAD51C",1,0.299577316622771,0.668478260869565,0.839221364221364,0,0,0,0
"P63000:Q6ZU80","RAC1","CEP128",0.350505845294689,0.177777777777778,0.335714285714286,0,-1,0,1,13.1930282088
"P63027:Q7Z5H3","VAMP2","ARHGAP22",0.325643971796398,0.186607142857143,0.513888888888889,0.571428571428571,-1,0,1,15.793450464
"P63208:Q2TBA0","SKP1","KLHL40",0.00239907903664346,0.176785714285714,0.541666666666667,0.861111111111111,-1,0,1,4.471674174
"P63027:Q8IXH7","VAMP2","NELFCD",0.104957934549056,0.0909090909090909,0.465217391304348,0.953125,-1,0,1,2.8404912
"P63208:Q6P4F7","SKP1","ARHGAP11A",-0.0521794242770101,0.105699855699856,0.6,0.333333333333333,-1,0,1,3.1841634
"P63098:Q5SY80","PPP3R1","CATSPERE",-0.0572046576089846,0.138888888888889,0.3,0,-1,0,1,4.2505646436
"P63000:Q9NQV6","RAC1","PRDM10",0.419270281789546,0.179945054945055,0.505,0.373333333333333,-1,0,1,22.5033903008435
"P63146:Q99728","UBE2B","BARD1",0.379229140902695,0.217289893113423,0.717799070847851,0.842528735632184,-1,0,1,174.343872119834
"P63151:Q14152","PPP2R2A","EIF3A",0.718461065812662,0.131558441558442,0.549382716049383,0.753333333333333,-1,0,1,540.862969285901
"P63096:Q969X5","GNAI1","ERGIC1",-0.0579139595359089,0.166666666666667,0.417307692307692,1,-1,0,1,0.266843632275
"P63208:Q9H2F9","SKP1","CCDC68",-0.0421034921820708,0.129464285714286,0.4,1,-1,0,1,0.7575999174
"P63000:Q9H3Q3","RAC1","GAL3ST2",0.0736946698803547,0.183333333333333,0.75,0.358630952380952,-1,0,1,0.3193506882
"P63104:Q9Y6B2","YWHAZ","EID1",0.352625022243695,0.767857142857143,0.666666666666667,0.833333333333333,-1,0,1,2.331875
"P63208:Q69YL0","SKP1","NCBP2AS2",0.278271663407792,0,0.5,1,-1,0,1,8.425934
"P63000:Q969G9","RAC1","NKD1",0.493940092413687,0.193653198653199,0.547619047619048,0.92156862745098,-1,0,1,12.9243102048
"P63098:Q0D2H9","PPP3R1","GOLGA8DP",-0.0753629382082846,0.125,0.216666666666667,1,-1,0,1,3.684096
"P49450:Q6B0I6","CENPA","KDM4D",0.104035038160336,0.12877886002886,0.497916666666667,0.325974025974026,-1,0,1,0.563149104555775
"P49593:P82980","PPM1F","RBP5",0.0132351996283085,0.0909090909090909,0.466666666666667,0.465476190476191,-1,0,1,1.120284704
"P49768:Q96JK2","PSEN1","DCAF5",0.318235405510388,0.133333333333333,0.71875,1,-1,0,1,49.4061847873776
"P49190:P62068","PTH2R","USP46",0.147638025653023,0.121875,0.277777777777778,0.688636363636364,-1,0,1,0.355002615
"P49356:Q96A65","FNTB","EXOC4",0.193990646820969,0.1220670995671,0.469230769230769,0.980769230769231,-1,0,1,19.0604931
"P49450:Q8WZ82","CENPA","OVCA2",0,0.111111111111111,0.475,0.25,-1,0,1,1.1757
"P49703:Q9Y2W6","ARL4D","TDRKH",0.170603089426174,0.125963718820862,0.23,0.892857142857143,-1,0,1,2.357607696
"P49736:Q9NYP9","MCM2","MIS18A",0.677248024883257,0.168333333333333,0.673333333333333,0.967021276595745,-1,0,1,29.6627064204
"P49736:Q96B77","MCM2","TMEM186",0.547822978956449,0.25,0.261363636363636,1,-1,0,1,5.339571072
"P49221:P50213","TGM4","IDH3A",0.00779743905985998,0,0.327020202020202,0.197424242424242,-1,0,1,0.2104444215
"P49736:Q96HY6","MCM2","DDRGK1",0.0312041536532288,0.102887612387612,0.333116883116883,0.775,-1,0,1,2.630536062
"P49411:Q9HC62","TUFM","SENP2",0.366146544283002,0.11743018885876,0.414814814814815,0.886328725038402,-1,0,1,4.986158592
"P49721:Q12893","PSMB2","TMEM115",0.454094189872892,0.114583333333333,0.330357142857143,1,-1,0,1,9.0874875
"P49721:Q16611","PSMB2","BAK1",0.321329675985578,0.147002587576358,0.242105263157895,0.944341563786008,-1,0,1,11.29899971
"P49721:P51157","PSMB2","RAB28",0.401224736156846,0.1,0.566666666666667,0.414351851851852,-1,0,1,2.60778587440896
"P49721:Q8NBC4","PSMB2","C20orf203",-0.0253332796882638,0,1,0,-1,0,1,1.09286562
"P49721:Q8WXS3","PSMB2","BAALC",-0.21945383564038,0,0.575,1,-1,0,1,1.1674701
"P49721:Q96P16","PSMB2","RPRD1A",0.418875289166073,0.0833333333333333,0.771428571428571,0.926190476190476,-1,0,1,3.6309813264
"P49639:P62913","HOXA1","RPL11",0.490162494524711,0.115219137587559,0.390029761904762,0.82711038961039,-1,0,1,4.368341707884
"P49715:P61224","CEBPA","RAP1B",0.132628023863609,0.160811931124431,0.317094017094017,0.709661835748792,-1,0,1,0.245212811407032
"P08476:Q5T5C0","INHBA","STXBP5",0.293224668636982,0.136678004535147,0.335209235209235,0.327380952380952,-1,0,1,50.1680353869306
"P08621:P56555","SNRNP70","DSCR4",-0.0397670781180987,0.333333333333333,0.5,0.5,-1,0,1,2.6842818195
"P08514:P17752","ITGA2B","TPH1",-0.0687376975653524,0.145526695526696,0.416666666666667,0.80952380952381,-1,0,1,8.975952192
"P08473:Q96SL4","MME","GPX7",0.443754248504678,0.229166666666667,0.3,0.788095238095238,-1,0,1,4.2428001
"P08473:Q92569","MME","PIK3R3",-0.104823483162293,0.125652630198085,0.266666666666667,0.976111111111111,-1,0,1,5.92352464
"P08473:Q96MK2","MME","RIPOR3",-0.0550763937816934,0,0,1,-1,0,1,0.176355
"P08473:P50607","MME","TUB",-0.0743428582024226,0.172777777777778,0.457142857142857,0.444444444444444,-1,0,1,3.157165984
"P08631:Q9H270","HCK","VPS11",-0.0593537056830529,0.160577215182478,0.271701982228298,0.931687242798354,-1,0,1,6.27649848276605
"P08319:Q03468","ADH4","ERCC6",-0.202584914918186,0.119137652470986,0.765966386554622,0.738401360544218,-1,0,1,0.6194247736887
"P08476:Q9H3U7","INHBA","SMOC2",0.523177304098311,0.176615282865283,0.675,0.479166666666667,-1,0,1,1.874796672
"P08514:Q9BV87","ITGA2B","CNPPD1",0.290198599120313,0,0.422222222222222,0.238095238095238,-1,0,1,37.529537584
"P08621:Q9Y6C7","SNRNP70","LINC00312",0,0,0,0,-1,0,1,0.13654956
"P08621:Q9Y3C1","SNRNP70","NOP16",0.117633293447515,0.125,0.46,1,-1,0,1,4.2842725550625
"P08559:P12034","PDHA1","FGF5",0.0795997755475639,0.119866071428571,0.2,0.333333333333333,-1,0,1,1.6027506
"P08559:Q96FA3","PDHA1","PELI1",-0.0721126615749667,0.101051978324706,0.247916666666667,0.791481481481482,-1,0,1,1.5818
"P08559:P47872","PDHA1","SCTR",-0.208253623867795,0.139448051948052,0.155555555555556,0.197278911564626,-1,0,1,0.806132019
"P08476:Q5BKZ1","INHBA","ZNF326",0.0993458903950849,0.274444444444444,0.325,0.707692307692308,-1,0,1,0.482883504
"P08621:Q96LI6","SNRNP70","HSFY1; HSFY2",0,0,0,0,-1,0,1,0.2858847672
"P08621:Q9H0U9","SNRNP70","TSPYL1",0.339174463833871,0.1,0.475,0.833333333333333,-1,0,1,1.26021057483342
"P08514:Q15124","ITGA2B","PGM5",-0.101352279994912,0.359027777777778,0.323469387755102,0.341666666666667,-1,0,1,5.85776961
"P23919:Q9UI95","DTYMK","MAD2L2",0.478465267139222,0.092756671433142,0.384848484848485,0.123737373737374,-1,0,1,1.420305
"P23497:P49841","SP100","GSK3B",0.247405250213249,0.134115884115884,0.460126582278481,0.685271228232393,-1,0,1,20824.4666704177
"P23193:Q8TAE8","TCEA1","GADD45GIP1",0.670563158560213,0.142857142857143,0.260416666666667,1,-1,0,1,2.0910979716858
"P22914:Q9BTT0","CRYGS","ANP32E",0.319011192113191,0.155952380952381,0,0.552380952380952,-1,0,1,0.533708896
"P23759:Q15070","PAX7","OXA1L",-0.308103111172,0.113980463980464,0.216666666666667,0.615384615384615,-1,0,1,0.243858846
"P22897:Q13564","MRC1","NAE1",0.0493319695907927,0.0865949706858798,0.435185185185185,0.816017316017316,-1,0,1,0.210833568
"P23946:Q9Y547","CMA1","IFT25",0,0.197896547896548,0.327380952380952,0.472727272727273,-1,0,1,8.307061191
"P23229:Q6P4F2","ITGA6","FDX2",-0.153482618137645,0.177222222222222,0.205,0.580952380952381,-1,0,1,0.4591866132
"P23945:P50991","FSHR","CCT4",0.218547393736773,0.135905760905761,0.376488095238095,0.744598765432099,-1,0,1,0.6036284184
"P23219:Q96HW7","PTGS1","INTS4",0.171683415941102,0.101190476190476,0.397959183673469,1,-1,0,1,14.088836352
"P23396:Q9Y4B4","RPS3","RAD54L2",0.624010170081849,0.195,1,0.699295634920635,-1,0,1,3.43265299146
"P23109:Q5SWA1","AMPD1","PPP1R15B",-0.15156020782943,0.0624269005847953,0.157142857142857,0.907407407407407,-1,0,1,0.355002615
"P23396:Q7Z5L9","RPS3","IRF2BP2",0.629686580999546,0.170833333333333,0.65,0.177777777777778,-1,0,1,1.47861583485
"P23945:P50222","FSHR","MEOX2",-0.0393637217507355,0.155668498168498,0.346666666666667,0.959065782200111,-1,0,1,0.840758336
"P22794:P40692","EVI2A","MLH1",-0.068811496045177,0,0.433786848072562,0.964102762317048,-1,0,1,0.718937638254
"P23284:Q4G0W2","PPIB","DUSP28",-0.0683268654555971,0.3,0,0.11996336996337,-1,0,1,6.5936524446
"P23946:P43364","CMA1","MAGEA11",-0.0334669439603743,0.0769230769230769,0.6,0.497641509433962,-1,0,1,23.467284258
"P23396:Q9Y484","RPS3","WDR45",0.547537705402014,0.185833333333333,0.666666666666667,0.738492063492063,-1,0,1,10.7076874905
"P23396:Q99633","RPS3","PRPF18",0.705204620456242,0.172619047619048,0.393005952380952,1,-1,0,1,1.717340625
"P62891:Q9NRC8","RPL39","SIRT7",0.521542713504621,0.135761460761461,0.341666666666667,0.166888150609081,-1,0,1,1.40296281
"P62899:Q15185","RPL31","PTGES3",0.817986638679186,0.125539077324792,0.714634146341463,0.827327327327327,-1,0,1,49.9601641879296
"P62987:Q99424","UBA52","ACOX2",-0.0462689516475739,0.11,0.365384615384615,0.402876984126984,-1,0,1,0.45295257605598
"P62993:Q969Q6","GRB2","PPP2R3C",0.557647774712539,0.174582362082362,0.508333333333333,0.927272727272727,-1,0,1,236.1480746625
"P62244:P62841","RPS15","RPS15A",0.895394429537966,0.602777777777778,0.739021164021164,0.691176470588235,0,-1,1,239.2975364
"P60866:P62841","RPS15","RPS20",0.903721366550115,0.846153846153846,0.77994227994228,0.702380952380952,0,-1,1,40948.2777071857
"P08708:P62841","RPS15","RPS17",0.892729982933097,0.467857142857143,0.760644257703081,0.761904761904762,0,-1,1,15300.229899759
"P23396:P62841","RPS15","RPS3",0.947104289494326,0.195423442482266,0.566011042097999,0.626204994192799,0,-1,1,8886.45220928758
"P08865:P62841","RPS15","RPSA",0.812798052807138,0.559615384615385,0.749867724867725,0.782051282051282,0,-1,1,277.067312387319
"P46781:P62841","RPS15","RPS9",0.930474595883104,0.602380952380952,0.669426406926407,0.553333333333333,0,-1,1,3385.28156358793
"P08708:P46783","RPS17","RPS10",0.960400140228599,1,0.766802721088435,0.383333333333333,0,-1,1,3474.97805272084
"P08708:P63244","RPS17","RACK1",0.922644177224773,0.123265806905513,0.502380952380952,0.242949427833149,1,1,1,12694.8907410884
"P62277:P63244","RPS13","RACK1",0.928818786123139,0.132230175869882,0.502380952380952,0.835188261351052,1,-1,1,1992.82365412892
"P62277:P62277","RPS13","RPS13",1,0.699404761904762,0.676785714285714,0.635555555555555,0,0,0,0
"P62244:P63220","RPS15A","RPS21",0.964974332451701,0.777777777777778,0.734013605442177,0.727272727272727,1,1,1,350444.393241555
"P62244:P62273","RPS15A","RPS29",0.928411554540438,1,0.732789115646258,0.555555555555556,0,-1,1,220.5863098038
"P62277:P63220","RPS13","RPS21",0.945321257219248,0.777777777777778,0.734013605442177,0.727272727272727,0,-1,1,1893.17170986332
"P62273:P62277","RPS13","RPS29",0.85631799520624,1,0.732789115646258,0.555555555555556,0,-1,1,249.99781777764
"P46783:P62277","RPS13","RPS10",0.959146193156869,1,0.766802721088435,0.7,0,-1,1,7459.0165865055
"P61247:P62277","RPS13","RPS3A",0.974334124575256,0.663257575757576,0.685079365079365,0.694444444444444,0,-1,1,287796.731899732
"P08708:P62273","RPS17","RPS29",0.889873995659592,1,0.732789115646258,0.555555555555556,0,-1,1,383.748603402648
"P61247:P62244","RPS15A","RPS3A",0.966449822355203,0.663257575757576,0.685079365079365,0.694444444444444,0,-1,1,4437.92742635777
"P08708:P62857","RPS17","RPS28",0.943261723173228,0.522077922077922,0.706692406692407,0.467948717948718,0,-1,1,17135.0195573587
"P08708:P62269","RPS17","RPS18",0.973607762479167,1,0.691950113378685,0.458333333333333,0,-1,1,14009.6892960107
"P46783:P62244","RPS15A","RPS10",0.979307263440476,1,0.766802721088435,0.7,0,-1,1,33458.4094956345
"P62244:P62269","RPS15A","RPS18",0.944034509770202,1,0.691950113378685,0.62,0,-1,1,4126.29219281812
"P08708:P63220","RPS17","RPS21",0.943037598530606,0.777777777777778,0.734013605442177,0.446969696969697,1,1,1,23679.2177827311
"P62244:P62244","RPS15A","RPS15A",1,0.602777777777778,0.739021164021164,0.691176470588235,0,-1,0,0
"P62244:P63244","RPS15A","RACK1",0.899917279496417,0.187192737817738,0.502380952380952,0.835188261351052,0,-1,1,9244.56939731372
"P08708:P61247","RPS17","RPS3A",0.957272907286238,0.663257575757576,0.685079365079365,0.405555555555556,1,1,1,30655.4697873042
"P61964:Q15369","WDR5","ELOC",0.601377613557257,0.228057889822596,0.56996855345912,0.973270440251572,0,-1,1,222.131921557956
"P20309:P59768","CHRM3","GNG2",-0.0110638341244075,0.344444444444444,0.918674698795181,1,0,0,1,6.86020585888
"P20309:P20309","CHRM3","CHRM3",1,0.361375661375661,0.711111111111111,0.475,0,-1,0,0
"P20309:P62873","CHRM3","GNB1",0.0722475075450852,0.472622053872054,0.356553512494107,0.886574074074074,1,1,1,76596.3656083026
"P61964:Q15370","WDR5","ELOB",0.695950114113453,0.0942265795206972,0.561728395061728,0.939393939393939,0,-1,1,192.541085543062
"P08865:P62273","RPSA","RPS29",0.898096604467256,1,0.732789115646258,0.555555555555556,0,-1,1,148.67026518344
"P08865:P62857","RPSA","RPS28",0.90343610401648,0.522077922077922,0.706692406692407,0.653846153846154,0,-1,1,19587.8802892036
"P08865:P63220","RPSA","RPS21",0.913719672776076,0.777777777777778,0.734013605442177,0.727272727272727,1,1,1,517063161.550571
"P08708:P62244","RPS17","RPS15A",0.974850896417582,0.602777777777778,0.739021164021164,0.411764705882353,1,-1,1,15071.1389562769
"P08708:P62277","RPS17","RPS13",0.959910924843645,0.699404761904762,0.676785714285714,0.370634920634921,0,-1,1,97761.1409029451
"P08708:P08708","RPS17","RPS17",1,0.467857142857143,0.760644257703081,0.761904761904762,0,0,0,0
"P50222:Q5EBL4","MEOX2","RILPL1",0.287190262829213,0.120833333333333,0.440277777777778,0.933333333333333,-1,0,1,5.0922032
"P49768:Q9BQ51","PSEN1","PDCD1LG2",0.254493370410165,0.19040404040404,0.761904761904762,1,-1,0,1,5.5788282
"P50219:Q96DV4","MNX1","MRPL38",-0.314392476419818,0.111111111111111,0.276470588235294,0.2,-1,0,1,0.514732122
"P49959:Q86U38","MRE11","NOP9",0.870964032082937,0.182222222222222,0.258333333333333,0.5,-1,0,1,11.4489375
"P49848:Q9Y535","TAF6","POLR3H",0.629165487086972,0.343333333333333,0.536111111111111,0.453703703703704,-1,0,1,6.18242625
"P49959:Q13643","MRE11","FHL3",-0.0174058226781339,0.175,0.366964285714286,0.988,-1,0,1,0.615337866
"P40937:Q9H0D6","RFC5","XRN2",0.724821339595897,0.15702947845805,0.48,0.731182795698925,-1,0,1,17.9458882285203
"P49959:Q5TBE3","MRE11","C9orf153",0.0218245097888978,0,0,1,-1,0,1,0.3086518182
"P49841:Q6ZMY9","GSK3B","ZNF517",0.517937027099746,0.25,1,0.175,-1,0,1,70.2800467268856
"P49768:Q9BXM7","PSEN1","PINK1",-0.00611943417094084,0.147553500139707,0.428425655976676,0.5157917383821,-1,0,1,438.390592586513
"P49959:Q96D09","MRE11","GPRASP2",0.0792638001717133,0.166666666666667,0.6,0.967320261437908,-1,0,1,1.87853346
"P49916:Q9H3D4","LIG3","TP63",0.186663769545502,0.163083755325135,0.807291666666667,0.824237472766885,-1,0,1,18.13974326208
"P30876:Q9UQF2","POLR2B","MAPK8IP1",-0.246960538124945,0.064656279178338,0.434126984126984,0.820294784580499,-1,0,1,0.889367556
"P40938:Q9BRQ3","RFC3","NUDT22",0.37091491074765,0,1,0.901923076923077,-1,0,1,0.5725061202
"P49789:P51665","FHIT","PSMD7",-0.150224986375557,0.0909090909090909,0.825492063492063,0.867521367521368,-1,0,1,0.698223696
"P40337:Q9BUL5","VHL","PHF23",0.634967676994281,0.327272727272727,0.783333333333333,0.92,-1,0,1,3.8700739991232
"P46781:Q9H741","RPS9","SPRING1",0.0123118828670624,0.2,0.333333333333333,1,-1,0,1,0.4275701297
"P49902:Q9P086","NT5C2","MED11",0.360581815468091,0.161445012787724,0.238888888888889,0.894444444444444,-1,0,1,3.1841634
"P49770:Q9BPX1","EIF2B2","HSD17B14",0.292532678824514,0.2,1,0.954741379310345,-1,0,1,0.863243016993
"P08908:Q96MI9","HTR1A","AGBL1",0.0785136650502812,0.122222222222222,0.26984126984127,0.278571428571429,-1,0,1,4.2428001
"P08708:Q14296","RPS17","FASTK",0.426623366473768,0.154113247863248,0.25,0.261060606060606,-1,0,1,1.0311985481
"P08865:P13521","RPSA","SCG2",-0.212606454097768,0.15015873015873,0.285,0.619047619047619,-1,0,1,3.1841634
"P08865:P10243","RPSA","MYBL1",0.189518359138802,0.145740062406729,0.6,0.158571428571429,-1,0,1,1.2846253778736
"P08648:P62277","ITGA5","RPS13",0.325493160891992,0.170707070707071,0.389285714285714,0.635555555555555,-1,0,1,2.6788395324168
"P08887:Q96DD0","IL6R","LRRC39",0.313224125226687,0.333333333333333,0.5,1,-1,0,1,0.917190912
"P08887:Q02246","IL6R","CNTN2",-0.297835585431595,0.116444170908457,0.386904761904762,0.611111111111111,-1,0,1,58.3378391995638
"P08708:Q9Y2D1","RPS17","ATF5",-0.0987411259574733,0.114933458354511,0.353333333333333,0.218315018315018,-1,0,1,0.654979824675
"P08708:P50749","RPS17","RASSF2",-0.168529147504531,0.120696297166885,0.452380952380952,0.246938775510204,-1,0,1,1.0144080684
"P08865:Q96E35","RPSA","ZMYND19",0.346075141611629,0,0.708333333333333,0.986666666666667,-1,0,1,11.67791625
"P08865:Q96AT1","RPSA","KIAA1143",0.560174158026331,0,0,1,-1,0,1,3.52625
"P08708:P54710","RPS17","FXYD2",-0.0591422881994612,0.112584637584638,0.483333333333333,0.218571428571429,-1,0,1,1.88756194
"P08754:P61981","GNAI3","YWHAG",-0.0534663769087647,0.164843674843675,0.485,0.980003202049312,-1,0,1,203037.761960684
"P08908:Q969S6","HTR1A","TMEM203",-0.139315931864409,0.115740740740741,0.2,1,-1,0,1,0.639548217
"P08700:Q9Y6Y9","IL3","LY96",-0.0549781337140687,0.186167166167166,0.272051282051282,0.7625,-1,0,1,0.190825254
"P08637:Q92843","FCGR3A","BCL2L2",-0.183765476099718,0.163529856386999,0.273333333333333,0.96078431372549,-1,0,1,1.089870408
