ppi,pDockQ,PPV,prot1,prot2,ipTM,iptm_ptm,pTM,pLDDT,pAE,ranking_confidence,LIS,LIA,inter_pae,inter_pae_select,LIA_std,LIA_median,LIA_top5_avg,LIA_top10_avg,LIA_percentage,min_pae_inter,top5_pae_inter,interface_residues_a,interface_residues_b,mean_participation,pae_inter_25th,pae_inter_50th,pae_inter_75th,total_pae_below_cutoff,normalized_interchain,normalized_total,cLIS,cLIA,iplddt_mean,iplddt_chain_a,iplddt_chain_b,ipae_mean,ipae_median,ipae_chain_b,ipae_chain_a,pdockq2_mean,non_struct_label,str_label,nonstr_label_name,str_label_name,is_homo
P62266:P62847,0.0,0.0,P62266,P62847,0.15,0.222,0.51,88.69,15.448,0.3,0.0,0,25.215,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,34444,0.0,0.4521634110480991,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62266:P62906,0.0319376700713284,0.636,P62266,P62906,0.08,0.142,0.39,72.68,19.834,0.17,0.0,0,29.806,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,39906,0.0,0.3079166666666666,0.0,0,77.654,87.752,67.555,0.106,0.106,0.106,0.105,0.009,-1,0,unclear (exclude for analysis),no physical interaction,False
P62266:P62910,0.0,0.0,P62266,P62910,0.09,0.168,0.48,90.33,16.092,0.23,0.0,0,27.186,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,36438,0.0,0.4714818073598675,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62266:P62979,0.0,0.0,P62266,P62979,0.06,0.134,0.43,85.03,21.477,0.25,0.0,0,30.44,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,29365,0.0,0.3284638874285522,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62266:P83881,0.0182588935619795,0.559,P62266,P83881,0.33,0.386,0.61,92.06,10.468,0.48,0.073,2547,16.207,11.126,0.052,0.058,0.248,0.243,8.402,0.258,"[0.258, 0.25, 0.25, 0.242, 0.242]",51.74825174825175,72.64150943396226,62.194880591107,0.0333333333333333,0.0583333333333332,0.1041666666666666,32467,0.0840150415622113,0.5236528443089628,0.083,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62269:P62280,0.0,0.0,P62269,P62280,0.05,0.132,0.46,86.05,18.736,0.25,0.0,0,30.911,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,41245,0.0,0.4291883454734651,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62269:P62495,0.0,0.0,P62269,P62495,0.07,0.15,0.47,77.85,20.042,0.2,0.0,0,31.314,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,95785,0.0,0.2761003225518201,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,1,0,HINT-binary-HQ-LC,no physical interaction,False
P62269:P62753,0.0203250644322623,0.559,P62269,P62753,0.14,0.216,0.52,86.75,16.919,0.36,0.0,0,27.433,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,68520,0.0,0.4261167530052673,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62269:P62847,0.0,0.0,P62269,P62847,0.04,0.126,0.47,85.32,19.009,0.22,0.0,0,31.546,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,35132,0.0,0.4325269313634964,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62269:P62857,0.1055987117102037,0.686,P62269,P62857,0.47,0.516,0.7,85.52,9.671,0.58,0.104,7155,14.576,10.752,0.076,0.1,0.422,0.412,34.11,0.425,"[0.425, 0.425, 0.425, 0.417, 0.417]",82.23684210526315,82.6086956521739,82.42276887871853,0.0499999999999999,0.0999999999999999,0.1666666666666666,31740,0.341104118993135,0.64986384390164,0.165,25,76.127,90.258,61.996,0.319,0.319,0.303,0.336,0.021,-1,0,unclear (exclude for analysis),no physical interaction,False
P62269:P62906,0.0,0.0,P62269,P62906,0.05,0.118,0.39,78.83,20.863,0.16,0.0,0,31.63,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,40799,0.0,0.2996379286286088,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62269:P62913,0.0304348934822019,0.636,P62269,P62913,0.59,0.622,0.75,88.27,8.206,0.68,0.345,43096,10.369,7.859,0.164,0.35,0.782,0.776,79.642,0.792,"[0.792, 0.783, 0.783, 0.775, 0.775]",90.78947368421052,92.13483146067416,91.46215257244236,0.2249999999999999,0.35,0.4666666666666666,91837,0.7964222353636902,0.8433149678604224,0.751,14,90.731,90.428,91.035,0.917,0.917,0.918,0.916,0.623,1,1,HINT-binary-HQ-LC,direct physical interaction,False
P62269:P62979,0.0,0.0,P62269,P62979,0.04,0.116,0.42,83.76,22.006,0.26,0.0,0,31.566,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,30568,0.0,0.3222297183336144,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62269:P83881,0.0,0.0,P62269,P83881,0.06,0.152,0.52,88.07,17.24,0.28,0.0,0,29.348,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,30626,0.0,0.4600985517697253,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62273:P62906,0.0,0.0,P62273,P62906,0.04,0.114,0.41,65.43,18.897,0.15,0.0,0,30.923,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,21260,0.0,0.2852580874558896,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-1,0,unclear (exclude for analysis),no physical interaction,False
P62273:P83881,0.0282755724791761,0.559,P62273,P83881,0.1,0.188,0.54,91.13,14.932,0.35,0.0,0,26.802,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,13308,0.0,0.507087334247828,0.0,0,91.838,93.12,90.557,0.124,0.124,0.12,0.128,0.01,-1,0,unclear (exclude for analysis),no physical interaction,False
P62277:P62495,0.1128343533310914,0.686,P62277,P62495,0.63,0.64,0.68,81.79,12.608,0.68,0.178,34918,15.437,9.859,0.128,0.158,0.677,0.661,26.458,0.683,"[0.683, 0.683, 0.683, 0.675, 0.658]",85.43046357615894,52.8604118993135,69.14543773773622,0.075,0.1583333333333333,0.2666666666666666,171619,0.2645824177489505,0.4963759313249109,0.464,40,82.303,86.366,78.24,0.656,0.656,0.631,0.682,0.132,-1,0,unclear (exclude for analysis),no physical interaction,False
P62987:P62987,0.0876232895267401,0.667,P62987,P62987,0.14,0.18,0.34,67.58,20.425,0.21,0.05,4,25.253,11.4,0.034,0.054,0.05,0.05,0.012,0.083,"[0.083, 0.083, 0.025, 0.008, 0.0]",1.5625,1.5625,1.5625,0.0208333333333333,0.0541666666666666,0.0833333333333333,14044,0.0001220703125,0.21429443359375,0.05,4,50.121,50.159,50.082,0.294,0.294,0.295,0.294,0.012,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P62987:Q15797,0.2018897023420036,0.759,P62987,Q15797,0.28,0.306,0.41,67.58,23.936,0.42,0.037,12,27.159,11.561,0.041,0.029,0.068,0.046,0.01,0.167,"[0.167, 0.058, 0.042, 0.042, 0.033]",6.25,0.6451612903225806,3.4475806451612905,0.0166666666666666,0.0291666666666667,0.0416666666666666,59846,0.0001008064516129,0.170186748718182,0.06,4,59.959,52.175,67.743,0.245,0.245,0.232,0.258,0.012,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P63000:P63000,0.1594468713638475,0.73,P63000,P63000,0.12,0.194,0.49,79.4,17.014,0.23,0.0,0,27.041,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,61119,0.0,0.41448974609375,0.0,0,68.556,67.888,69.224,0.163,0.163,0.162,0.163,0.01,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P63096:P63096,0.1814806821252629,0.74,P63096,P63096,0.15,0.2,0.4,76.74,21.566,0.22,0.0,0,30.181,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,122689,0.0,0.2447592486194899,0.0,0,65.105,64.51,65.7,0.128,0.128,0.127,0.128,0.009,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P63098:P63098,0.0365383706818673,0.636,P63098,P63098,0.07,0.112,0.28,50.85,23.169,0.14,0.0,0,29.771,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,17112,0.0,0.1480276816608996,0.0,0,51.389,50.472,52.306,0.117,0.117,0.117,0.117,0.009,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P63104:P63104,0.4986434780870233,0.9,P63104,P63104,0.86,0.864,0.88,90.75,5.887,0.87,0.57,102163,7.255,5.161,0.18,0.608,0.918,0.918,85.1,0.925,"[0.925, 0.917, 0.917, 0.917, 0.917]",94.28571428571428,94.28571428571428,94.28571428571428,0.4666666666666666,0.6083333333333333,0.7083333333333334,212690,0.8510037484381507,0.8858392336526447,0.891,104,97.997,98.01,97.984,0.986,0.986,0.985,0.986,0.933,1,1,HINT-binary-HQ-LC,direct physical interaction,True
P63104:Q16613,0.2285825257860222,0.778,P63104,Q16613,0.17,0.248,0.56,77.9,16.9,0.29,0.0,0,25.54,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,79154,0.0,0.387432453598559,0.0,0,67.237,82.508,51.967,0.212,0.212,0.215,0.21,0.012,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P63104:Q6UUV9,0.4502300026941691,0.886,P63104,Q6UUV9,0.83,0.738,0.37,50.27,28.164,1.09,0.431,7896,29.673,6.826,0.243,0.492,0.852,0.847,2.542,0.858,"[0.858, 0.85, 0.85, 0.85, 0.85]",94.28571428571428,3.627760252365931,48.9567372690401,0.2416666666666667,0.4916666666666667,0.7000000000000001,71041,0.0254168544389364,0.09194567722914,0.634,113,85.102,97.405,72.798,0.748,0.748,0.72,0.776,0.278,1,1,HINT-binary-HQ-LC,direct physical interaction,False
P63104:Q92934,0.3598175567573343,0.843,P63104,Q92934,0.63,0.628,0.62,67.34,19.103,0.84,0.148,3738,26.642,10.227,0.106,0.1,0.607,0.588,4.541,0.617,"[0.617, 0.608, 0.608, 0.6, 0.6]",86.12244897959184,16.071428571428573,51.0969387755102,0.0416666666666666,0.0999999999999999,0.1666666666666666,59360,0.0454081632653061,0.3480116551073173,0.221,65,81.409,96.642,66.175,0.441,0.441,0.508,0.373,0.036,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P63104:Q99459,0.1039867411680546,0.686,P63104,Q99459,0.12,0.154,0.29,74.36,28.071,0.39,0.0,0,31.459,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,95676,0.0,0.0872789769104249,0.0,0,86.951,88.853,85.049,0.102,0.102,0.099,0.105,0.01,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P63104:Q9NRI5,0.3787106128942473,0.855,P63104,Q9NRI5,0.51,0.47,0.31,62.52,28.23,0.67,0.073,211,30.82,11.123,0.098,0.083,0.412,0.385,0.05,0.45,"[0.45, 0.425, 0.408, 0.392, 0.383]",0.8163265306122449,1.5222482435597189,1.169287387085982,0.0416666666666666,0.0833333333333333,0.1583333333333333,101796,0.0005042297949624,0.0842820961400098,0.09,25,78.821,90.637,67.006,0.263,0.263,0.327,0.199,0.015,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P63104:Q9P0K1,0.3836757338560822,0.855,P63104,Q9P0K1,0.66,0.634,0.53,69.57,22.566,0.76,0.133,45881,23.434,10.402,0.104,0.117,0.607,0.599,10.335,0.617,"[0.617, 0.608, 0.608, 0.6, 0.6]",89.79591836734694,23.9514348785872,56.87367662296707,0.0583333333333332,0.1166666666666667,0.1916666666666667,261152,0.1033495517412262,0.1971254550683461,0.341,147,77.501,89.342,65.659,0.588,0.588,0.551,0.625,0.09,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P63104:Q9P0N9,0.3092216117496444,0.812,P63104,Q9P0N9,0.3,0.35,0.55,82.63,16.344,0.37,0.0,0,26.301,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,123336,0.0,0.4261135141858183,0.0,0,72.206,80.03,64.382,0.195,0.195,0.189,0.201,0.012,1,1,HINT-binary-HQ-LC,direct physical interaction,False
P63104:Q9UBF8,0.1380229096884254,0.706,P63104,Q9UBF8,0.46,0.474,0.53,67.75,22.742,0.6,0.051,333,28.689,11.393,0.036,0.042,0.168,0.152,0.083,0.2,"[0.2, 0.175, 0.167, 0.158, 0.142]",45.71428571428572,0.4901960784313725,23.102240896358545,0.025,0.0416666666666666,0.075,277224,0.0008328331332533,0.2462635057887345,0.044,13,69.435,83.387,55.484,0.32,0.32,0.308,0.332,0.018,1,1,HINT-binary-HQ-LC,direct physical interaction,False
P63104:Q9UQ84,0.2400479397379783,0.778,P63104,Q9UQ84,0.29,0.312,0.4,60.11,26.624,0.55,0.0,0,30.37,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,176674,0.0,0.148430496664233,0.0,0,74.527,88.556,60.498,0.182,0.182,0.191,0.173,0.011,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P63146:Q9Y3C7,0.139318337253498,0.714,P63146,Q9Y3C7,0.1,0.186,0.53,76.4,17.637,0.23,0.0,0,26.869,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,30427,0.0,0.379914844735232,0.0,0,76.54,76.508,76.573,0.151,0.151,0.148,0.155,0.011,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P63279:Q13485,0.5913552692935435,0.932,P63279,Q13485,0.56,0.546,0.49,71.12,22.443,0.69,0.072,3213,24.412,11.134,0.066,0.058,0.432,0.409,1.842,0.458,"[0.458, 0.433, 0.433, 0.425, 0.408]",67.72151898734177,28.98550724637681,48.35351311685929,0.025,0.0583333333333332,0.1083333333333333,96822,0.0184197853604843,0.1920690339218409,0.218,46,80.618,81.772,79.464,0.197,0.197,0.205,0.19,0.013,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P63279:Q13569,0.4039422040475979,0.871,P63279,Q13569,0.9,0.808,0.44,71.06,22.175,0.99,0.581,6504,25.604,5.026,0.252,0.675,0.908,0.904,5.02,0.917,"[0.917, 0.908, 0.908, 0.908, 0.9]",98.73417721518987,7.317073170731707,53.02562519296079,0.3583333333333333,0.6749999999999999,0.775,77417,0.050200679221982,0.2399604493156119,0.735,89,88.278,95.597,80.958,0.705,0.705,0.709,0.702,0.219,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
P63279:Q5JVS0,0.333810459503682,0.834,P63279,Q5JVS0,0.32,0.322,0.33,53.24,28.008,0.68,0.067,10,30.227,11.19,0.109,0.125,0.217,0.135,0.008,0.367,"[0.367, 0.283, 0.167, 0.142, 0.125]",0.0,0.7263922518159807,0.3631961259079903,0.0479166666666666,0.125,0.1604166666666666,30180,7.662365525485027e-05,0.0925650455004125,0.073,9,72.096,96.319,47.874,0.234,0.234,0.297,0.172,0.012,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
P63279:Q8IUQ4,0.1286036637266355,0.706,P63279,Q8IUQ4,0.4,0.422,0.51,81.03,16.473,0.46,0.0,0,24.124,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,72647,0.0,0.3752427685950413,0.0,0,82.136,82.338,81.934,0.288,0.288,0.302,0.274,0.019,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q15788:Q92753,0.3485711574434341,0.843,Q15788,Q92753,0.55,0.5,0.3,49.83,30.046,0.79,0.342,6388,30.777,7.9,0.16,0.358,0.788,0.768,0.472,0.817,"[0.817, 0.817, 0.775, 0.767, 0.767]",1.179736294240111,49.7872340425532,25.48348516839665,0.2249999999999999,0.3583333333333333,0.4583333333333333,119615,0.0047159921449348,0.0327539944045887,0.515,75,73.147,65.48,80.813,0.315,0.315,0.284,0.345,0.018,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q15796:Q9HAU4,0.4722617147491427,0.886,Q15796,Q9HAU4,0.32,0.324,0.34,70.58,26.08,0.41,0.203,1177,30.068,9.558,0.121,0.2,0.543,0.515,0.168,0.575,"[0.575, 0.55, 0.55, 0.525, 0.517]",2.355460385438972,9.358288770053475,5.856874577746224,0.0999999999999999,0.2,0.3,174338,0.0016847209976067,0.1180971735338447,0.332,65,61.775,63.051,60.499,0.206,0.206,0.203,0.21,0.011,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q15847:Q8N0Y2,0.0242239648899356,0.559,Q15847,Q8N0Y2,0.1,0.136,0.28,63.52,26.366,0.39,0.0,0,30.138,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,17498,0.0,0.1077403345873689,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16236:Q6P1K2,0.3925267978305918,0.86,Q16236,Q6P1K2,0.28,0.272,0.24,55.43,28.627,0.61,0.057,206,29.415,11.32,0.065,0.046,0.28,0.256,0.083,0.3,"[0.3, 0.283, 0.275, 0.275, 0.267]",4.462809917355372,9.268292682926829,6.8655513001411,0.025,0.0458333333333333,0.0999999999999999,30125,0.0008304777262648,0.0459152568206066,0.087,37,78.57,76.014,81.126,0.34,0.34,0.318,0.362,0.022,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q16348:Q5T2W1,0.2065898211795755,0.759,Q16348,Q5T2W1,0.31,0.346,0.49,70.93,23.456,0.39,0.013,3,29.161,11.85,0.014,0.025,0.025,0.025,0.0,0.042,"[0.042, 0.025, 0.008, 0.0, 0.0]",0.0,0.5780346820809248,0.2890173410404624,0.0166666666666666,0.025,0.0333333333333333,289357,3.964572579430211e-06,0.1857825084237344,0.021,1,82.208,82.077,82.339,0.288,0.288,0.318,0.258,0.019,1,1,HINT-binary-HQ-LC,direct physical interaction,False
Q16514:Q16514,0.4724719606318476,0.886,Q16514,Q16514,0.39,0.394,0.41,57.19,23.858,0.69,0.447,9394,24.845,6.636,0.203,0.492,0.777,0.776,18.12,0.783,"[0.783, 0.775, 0.775, 0.775, 0.775]",47.82608695652174,47.82608695652174,47.82608695652174,0.2833333333333334,0.4916666666666667,0.6166666666666667,21135,0.1812044288414799,0.203840515412214,0.576,270,76.429,76.573,76.285,0.742,0.742,0.741,0.743,0.149,1,0,HINT-binary-HQ-LC,no physical interaction,True
Q16520:Q16520,0.4453031230640449,0.878,Q16520,Q16520,0.44,0.446,0.47,71.07,20.778,0.76,0.457,6380,22.444,6.51,0.247,0.475,0.867,0.863,20.416,0.867,"[0.867, 0.867, 0.867, 0.867, 0.867]",54.400000000000006,53.6,54.0,0.2416666666666667,0.475,0.6833333333333332,17143,0.20416,0.274288,0.673,135,93.163,93.18,93.146,0.912,0.912,0.911,0.913,0.666,-1,-1,unclear (exclude for analysis),not found in same PDB complex,True
Q16520:Q16534,0.5956216137787508,0.932,Q16520,Q16534,0.55,0.532,0.46,65.48,23.981,0.88,0.473,13076,24.338,6.329,0.258,0.467,0.917,0.917,17.73,0.917,"[0.917, 0.917, 0.917, 0.917, 0.917]",56.00000000000001,41.69491525423729,48.84745762711864,0.2583333333333333,0.4666666666666666,0.7000000000000001,33033,0.1773016949152542,0.1872619047619047,0.725,187,95.301,97.593,93.009,0.907,0.907,0.926,0.888,0.701,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
Q16540:Q16540,0.2249659873968129,0.778,Q16540,Q16540,0.33,0.352,0.44,59.68,19.713,0.59,0.163,4270,21.663,10.045,0.11,0.15,0.522,0.507,9.12,0.533,"[0.533, 0.525, 0.525, 0.517, 0.508]",48.36601307189542,47.7124183006536,48.03921568627451,0.075,0.15,0.2333333333333334,19230,0.0912042376863599,0.2053697295911828,0.272,164,64.427,64.633,64.221,0.463,0.463,0.462,0.464,0.026,0,0,non-interacting pairs,no physical interaction,True
Q16540:Q4U2R6,0.1453412168426966,0.714,Q16540,Q4U2R6,0.14,0.204,0.46,80.12,19.942,0.45,0.0,0,27.721,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,24169,0.0,0.3060878155038563,0.0,0,91.575,91.581,91.569,0.126,0.126,0.13,0.121,0.011,-1,0,unclear (exclude for analysis),no physical interaction,False
Q16540:Q9NYK5,0.0387586838945197,0.636,Q16540,Q9NYK5,0.13,0.22,0.58,77.41,19.157,0.33,0.0,0,29.144,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,92903,0.0,0.3853601071838926,0.0,0,89.609,87.771,91.447,0.117,0.117,0.127,0.107,0.01,1,1,HINT-binary-HQ-LC,direct physical interaction,False
Q16543:Q6PIF2,0.0533227048784539,0.636,Q16543,Q6PIF2,0.08,0.13,0.33,63.87,26.984,0.33,0.0,0,31.423,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,43110,0.0,0.1213627764515112,0.0,0,61.445,43.58,79.31,0.099,0.099,0.099,0.1,0.009,-1,-1,unclear (exclude for analysis),not found in same PDB complex,False
Q16548:Q16548,0.3150622428377652,0.822,Q16548,Q16548,0.32,0.36,0.52,76.2,15.097,0.36,0.166,3451,21.48,10.005,0.095,0.167,0.437,0.42,5.634,0.442,"[0.442, 0.442, 0.433, 0.433, 0.433]",83.42857142857143,82.85714285714286,83.14285714285714,0.0833333333333333,0.1666666666666666,0.2416666666666667,46316,0.0563428571428571,0.3780897959183673,0.144,153,64.399,64.177,64.622,0.4,0.4,0.399,0.4,0.021,1,0,HINT-binary-HQ-LC,no physical interaction,True
Q16548:Q16611,0.1199640282700223,0.686,Q16548,Q16611,0.19,0.248,0.48,71.13,17.807,0.29,0.043,150,24.93,11.488,0.029,0.038,0.113,0.107,0.203,0.125,"[0.125, 0.117, 0.108, 0.108, 0.108]",34.85714285714286,0.9478672985781992,17.902505077860532,0.025,0.0375,0.0583333333333332,48428,0.0020311442112389,0.3250288598351634,0.043,9,59.724,68.306,51.143,0.269,0.269,0.26,0.279,0.013,1,1,HINT-binary-HQ-LC,direct physical interaction,False
Q16548:Q92934,0.5637503934959835,0.916,Q16548,Q92934,0.81,0.76,0.56,66.53,20.846,1.0,0.607,8877,24.572,4.717,0.262,0.717,0.918,0.914,15.097,0.925,"[0.925, 0.917, 0.917, 0.917, 0.917]",81.14285714285714,25.59523809523809,53.36904761904762,0.45,0.7166666666666667,0.8083333333333332,34386,0.150969387755102,0.2922761774430722,0.791,167,91.747,94.964,88.53,0.869,0.869,0.882,0.855,0.537,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
Q16548:Q96PG8,0.151517925899905,0.714,Q16548,Q96PG8,0.44,0.432,0.4,56.11,25.821,0.73,0.148,507,29.583,10.224,0.097,0.158,0.42,0.4,0.555,0.45,"[0.45, 0.45, 0.4, 0.4, 0.4]",73.14285714285714,2.681992337164751,37.91242474001095,0.075,0.1583333333333333,0.2333333333333334,26779,0.0055500821018062,0.1408709283730325,0.164,37,63.479,79.213,47.745,0.292,0.292,0.329,0.254,0.014,0,-1,non-interacting pairs,not found in same PDB complex,False
Q16552:Q96PD4,0.6921911756086035,0.981,Q16552,Q96PD4,0.7,0.696,0.68,73.87,15.667,0.91,0.628,25009,15.981,4.467,0.224,0.7,0.928,0.927,49.493,0.933,"[0.933, 0.933, 0.925, 0.925, 0.925]",81.29032258064515,74.23312883435584,77.76172570750049,0.5,0.7000000000000001,0.7999999999999999,51030,0.4949337027508411,0.5046279814880741,0.761,432,91.495,90.952,92.038,0.925,0.925,0.929,0.921,0.659,1,1,HINT-binary-HQ-LC,direct physical interaction,False
Q16594:Q5VWG9,0.2387806691057204,0.778,Q16594,Q5VWG9,0.15,0.164,0.22,47.81,30.119,0.2,0.0,0,31.274,12.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,37059,0.0,0.0260383109350507,0.0,0,67.028,65.027,69.029,0.103,0.103,0.104,0.101,0.009,1,1,HINT-binary-HQ-LC,direct physical interaction,False
Q16695:Q9UKL0,0.1497468037740666,0.714,Q16695,Q9UKL0,0.18,0.194,0.25,58.28,27.788,0.48,0.057,61,29.809,11.316,0.094,0.092,0.327,0.272,0.046,0.5,"[0.5, 0.333, 0.275, 0.267, 0.258]",3.6764705882352944,0.0,1.8382352941176472,0.0416666666666666,0.0916666666666666,0.1666666666666666,29876,0.0004624014554275,0.0774710157892962,0.101,17,63.743,54.501,72.984,0.21,0.21,0.172,0.248,0.011,1,-1,HINT-binary-HQ-LC,not found in same PDB complex,False
