,ppi,co-expression,BP,CC,MF,SM,PrP,"max(SM,PrP)",PR,OR,PP,GO,EP,Total,label
2374,O94941:Q9Y2F9,0.3261780403220583,0.0724358974358974,0.4666666666666666,1.0,0.26,0.0,0.26,0.0,0.0,2.013,0.0,1.1757,0.615337866,0
2378,Q16552:Q7Z3H0,-0.024147921185535,0.25,0.35,1.0,0.15,0.0,0.15,0.0,0.0,2.416,0.0,3.9008,1.41364992,0
2379,P05090:Q4VNC0,0.0121713425876086,0.1925925925925926,0.238095238095238,0.1516865079365079,0.83,3.66,3.66,0.0,0.0,2.416,0.0,2.7714,24.506270784,0
2380,Q9HBE4:Q9NX20,0.2563123101804638,0.1428571428571428,0.1769230769230769,0.225,0.15,0.0,0.15,0.0,0.0,2.416,0.0,0.7962,0.28854288,0
2381,Q06732:Q99719,-0.1728329156529759,0.079045954045954,0.169047619047619,0.9218409586056646,0.63,0.0,0.63,0.0,0.6153,2.013,0.0,0.5954,0.4646009245878,0
2384,Q14562:Q9Y314,0.4830987502795247,0.1053030303030303,0.5142857142857143,0.6157407407407408,0.94,0.0,0.94,0.0,0.0,2.013,0.0,3.9008,7.381171776,0
2386,P06681:P26447,-0.0766959967082064,0.1149891774891774,0.536904761904762,0.8854166666666667,0.29,3.52956,3.52956,0.0,0.0,2.416,0.4,2.1077,7.1892946906368,0
2388,Q15833:Q15906,-0.1696786018790522,0.0945909645909645,0.2804713804713805,0.8708333333333332,0.0,0.0,0.0,0.0,0.6153,2.416,0.0,2.7714,4.11986568672,0
2389,Q9BXX0:Q9Y6Y9,0.640403006366559,0.1367003367003366,0.272051282051282,0.7625,0.22,0.0,0.22,0.0,0.0,2.013,0.0,2.7714,1.227342204,0
2390,P55884:Q9UJV3,0.5898916657589829,0.1010561198061198,0.2933333333333333,0.9852627257799672,18.4,0.0,18.4,0.0,0.0,2.013,0.0,1.1757,43.54698744,0
2392,P06400:Q96GJ1,0.5148383375435436,0.1714285714285714,0.375,0.325,0.41,0.0,0.41,0.0,0.0,2.013,0.0,2.7714,2.287319562,0
2393,O43719:Q86XP3,0.3735383036455433,0.4888888888888888,0.6534632034632035,0.4373015873015872,1.52,7.40526,7.40526,0.9127,0.6153,2.013,0.31,45.2798,117.507407705406,0
2394,Q8IW93:Q9UGQ3,-0.246035131491781,0.0926355390641105,0.369047619047619,0.2465277777777777,0.15,8.9,8.9,0.0,0.0,2.013,0.0,2.1077,37.76092089,0
2395,P28340:P84022,0.4186633567233903,0.0945701158744636,0.6818333333333335,0.7774863591269842,0.17,0.0,0.17,0.0,0.0,1.5978,0.0,0.7126,0.1935606876,0
2399,Q92585:Q96CP2,0.660867359239411,0.0,0.0,0.25,0.24,0.0,0.24,0.0,0.0,2.013,0.0,1.5818,0.764199216,0
2400,Q7RTU4:Q86YS6,-0.2618041643181126,0.1751700680272108,0.2335034013605442,0.494047619047619,0.0,0.0,0.0,0.0,0.0,2.013,0.0,2.1077,4.2428001,0
2401,P25786:P49721,0.8917908775623905,0.6944444444444443,0.8010849909584088,1.0,80.27,0.0,80.27,3.124,95.437,0.0,24.11,38.174,22026522.9948355,1
2402,Q7L523:Q9P278,0.4626995778919734,0.2323042037327751,0.6309523809523809,0.9272727272727272,7.06,3.66,7.06,0.0,0.0,1.5978,0.0,1.5818,17.8434442824,1
2405,Q15906:Q8WUD4,0.6670592220893541,0.0,0.761904761904762,1.0,0.54,0.0,0.54,0.5125,0.0,2.416,0.0,9.4687,6.3310379436,0
2406,Q5XKP0:Q96RI1,-0.267511485701011,0.0739355492823861,0.6348484848484849,0.4926943426943427,0.19,0.0,0.19,0.0,0.0,2.013,0.0,1.1757,0.449669979,0
2407,P62306:P62316,0.8886677203289702,0.6212585034013605,0.4364087301587301,0.9821428571428572,292.74,0.0,292.74,3.124,400.8352,0.0,69.61,38.174,974088126.130361,1
2408,P17181:Q5VTL8,0.4181038235538024,0.0884615384615384,0.1428571428571428,0.25,0.0,0.0,0.0,0.0,0.0,2.416,0.0,9.4687,22.8763792,0
2409,P62081:P62277,0.9639375966852238,0.6994047619047619,0.6767857142857142,0.6355555555555554,80.27,3.52956,80.27,0.0,30.1977,1.1933,24.11,38.174,2662205.9481145,1
2411,Q9HCH0:Q9Y6M9,-0.0655703618187855,0.0917184667184667,0.183673469387755,0.890625,0.54,0.0,0.54,0.0,0.0,2.013,0.0,0.7962,0.865485324,0
2413,P98172:Q8NHW5,0.3857374311411431,0.1833333333333333,0.1428571428571428,0.2083333333333333,0.19,0.0,0.19,2.0764,0.0,2.013,0.0,0.0,0.794160708,0
2414,Q969H6:Q9Y6L7,-0.2857485050096874,0.0948412698412698,0.5,0.1488095238095238,3.17,0.0,3.17,0.0,0.0,2.013,0.0,1.1757,7.502388597,0
2415,P50552:Q8IV45,-0.0890932155536452,0.0878787878787878,0.6666666666666666,0.7958333333333334,0.19,0.0,0.19,0.0,0.0,2.416,0.0,1.1757,0.539693328,0
2416,P54577:Q5VVY1,-0.1365217179513941,0.1,0.6,0.125,0.64,0.0,0.64,0.0,0.0,2.013,0.0,5.6875,7.32732,0
2417,Q03188:Q99954,0.1968089007770248,0.1111111111111111,0.5,0.8285714285714286,0.0,0.0,0.0,0.0,0.0,1.1933,0.0,0.5954,0.71049082,0
2418,O95396:P11686,-0.055901734269891,0.1428571428571428,0.2882440476190476,1.0,0.41,3.66,3.66,0.0,0.0,1.5978,0.0,1.5818,9.2502841464,0
2419,Q13291:Q86YR5,-0.1497491685360223,0.1578703703703703,0.3809523809523809,0.9183673469387754,0.19,3.84,3.84,0.0,0.0,2.013,0.0,1.1757,9.088066944,0
2420,Q8N1S5:Q96PE7,0.381553852436431,0.0640522875816993,0.3125,0.1047979797979797,0.0,0.0,0.0,0.0,0.0,1.5978,0.0,2.7714,4.42814292,0
2421,P17081:P23946,0.2952211728356473,0.141017316017316,0.2575963718820862,0.1994047619047619,0.22,0.0,0.22,0.0,0.6153,1.1933,0.0,1.5818,0.25551170957004,0
2422,Q96C86:Q9H3R5,0.5491456741185947,0.0907814407814407,0.6516666666666666,0.9666666666666668,0.54,0.0,0.54,0.0,0.0,1.1933,0.0,5.6875,3.664922625,0
2423,P09525:P63220,0.1930328943780618,0.1212797619047618,0.4197278911564626,0.7272727272727273,0.28,0.0,0.28,0.0,0.0,1.1933,0.0,1.5818,0.5285173432,0
2424,P01903:P35212,0.0983957067575744,0.1660430839002267,0.4365079365079365,0.875,0.31,2.59,2.59,0.0,0.0,2.416,0.0,1.1757,7.356872208,0
2426,O95168:Q8N6I1,0.3801542749310517,0.110982991681521,0.8,0.1116666666666666,0.54,0.0,0.54,0.0,0.0,1.5978,0.0,2.7714,2.3911971768,0
2427,P0CG48:Q9H173,0.193282131486968,0.101037851037851,0.365,0.8545454545454544,0.0,3.51,3.51,0.0,0.0,1.1933,0.0,0.0,4.188483,0
2430,P43686:Q14549,0.1920029135310041,0.1254447933019361,0.6,0.175,0.54,0.0,0.54,0.0,0.0,1.1933,0.0,0.7962,0.5130569484,0
2432,Q99816:Q9UK41,0.7741234635734978,0.2312350757687445,0.4349927849927849,0.9830508474576272,3.44,0.0,3.44,0.9127,445.3724,2.013,5.86,9.4687,156185.798017643,1
2433,P62906:P83881,0.9434729584761858,1.0,0.7161490683229814,0.6666666666666667,0.41,0.0,0.41,0.0,15.4815,1.5978,24.11,38.174,9334.35234428858,1
2434,P21580:Q9BQ13,-0.1444853505264172,0.1666666666666666,0.0,1.0,0.15,0.0,0.15,0.0,0.0,2.416,0.0,1.1757,0.42607368,0
2436,P50991:Q8N7M2,0.6582987185891558,0.1111111111111111,0.2,0.1722222222222222,0.81,0.0,0.81,0.0,0.0,0.0,0.0,2.7714,2.244834,0
2438,Q96A72:Q9Y5S9,0.6819699394395708,0.329978354978355,0.4912483912483913,0.9415094339622644,421.93,0.0,421.93,0.9127,158.1204,0.0,24.11,18.4426,27075452.1441367,1
2441,P40616:Q9UKJ0,0.3401732035697775,0.0954545454545454,0.3333333333333333,0.6666666666666666,3.02,0.0,3.02,0.5125,0.0,0.993,0.0,1.1757,1.806951847275,0
2442,Q8NEP7:Q96LB2,0.8542608010744275,0.0,0.0,0.1833333333333333,0.54,0.0,0.54,0.0,0.0,2.416,0.0,1.1757,1.533865248,0
2443,P22415:Q96F46,0.4930007643025073,0.1077223945644998,0.3571428571428571,0.7551020408163264,0.54,0.0,0.54,0.5125,0.0,2.416,0.0,2.7714,1.8530356392,0
2446,Q9NX70:Q9Y3C7,0.3754833463164708,0.291530910609858,0.3888888888888889,0.7851851851851851,0.94,0.0,0.94,1.2535,0.0,1.5978,0.4,5.6875,4.28307825855,1
2447,P83369:Q8TEA7,0.5318304690143492,0.1228354978354978,0.3229166666666667,0.4821428571428571,0.17,7.37,7.37,0.5125,0.0,2.013,0.0,1.5818,12.026983182225,0
2449,O60262:O94762,-0.1899079802750971,0.1155986374736374,0.2857142857142857,0.2699855699855699,0.0,0.0,0.0,0.0,0.0,2.013,0.0,2.7714,5.5788282,0
2450,Q7Z6K4:Q8N302,-0.0251159817082615,0.2586700336700336,0.0,0.9649122807017544,0.17,0.0,0.17,0.0,0.0,2.013,0.0,1.1757,0.402336297,0
2452,Q06455:Q9H9T3,0.570939784601825,0.1254449254449254,0.4000000000000001,0.5464285714285715,0.17,0.0,0.17,0.5125,0.0,0.993,0.0,1.5818,0.136849624725,0
2458,A8MUV8:Q9Y3B2,0.3374813606276966,0.0675339366515837,0.2131907308377897,0.1971916971916971,0.68,0.0,0.68,0.0,0.0,1.5978,0.0,0.4364,0.4741503456,0
2459,P83876:Q96BZ4,0.2992721636929201,0.1648358585858585,0.3671428571428571,0.101010101010101,0.41,0.0,0.41,0.0,0.6153,1.1933,0.0,1.5818,0.47618091328962,0
2460,Q5GH77:Q92624,0.4077155606592665,0.0,0.2060515873015873,0.0,0.19,0.0,0.19,0.0,0.0,2.416,0.0,0.8888,0.407994752,0
2462,Q9BRT6:Q9UKD2,0.741301886496219,0.0982080419580419,0.437037037037037,0.625,0.41,0.0,0.41,0.0,0.0,1.5978,0.0,18.4426,12.0817103748,0
2463,P16066:Q9NZ42,0.0910778627748502,0.1449786324786324,0.6270408163265306,0.4481792717086835,0.62,3.66,3.66,0.0,0.0,2.013,0.0,1.1757,8.662063806,0
2464,O14893:P62308,0.7404177518586259,0.6875196232339088,0.459054834054834,0.903125,7.06,0.0,7.06,0.0,0.0,0.0,69.61,18.4426,9063.55306516,1
2465,P56181:Q495M9,0.108140048134916,0.091017316017316,0.1787878787878788,0.9875,0.0,0.0,0.0,0.0,0.0,2.013,0.0,0.8888,1.7891544,0
2468,P19883:Q5T601,-0.0923996760657747,0.2369929453262786,0.5,0.7222222222222222,0.83,2.59,2.59,0.0,0.0,2.416,0.0,1.1757,7.356872208,0
2469,O95239:Q15528,0.1363385399509757,0.0972222222222222,0.3777777777777777,0.9771428571428572,9.33,0.0,9.33,0.0,0.0,2.416,0.0,3.9008,87.929025024,0
2470,P62304:Q9UBC1,0.4526527101691404,0.0660273519296075,0.7333333333333334,0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.993,0.0,2.1077,2.0929461,0
2471,O14964:O15442,-0.1947843341835283,0.25,0.5,0.6875,0.22,2.59,2.59,0.0,0.0,2.416,0.0,2.1077,13.188806288,0
2473,Q9BZI7:Q9Y305,0.4425522046214786,0.1,0.35,0.1305555555555555,0.41,0.0,0.41,0.0,0.0,2.416,0.0,2.7714,2.745237984,0
2474,P32969:Q9Y3B9,0.7316960458231091,0.125,0.2,0.0,0.24,0.0,0.24,0.0,0.0,2.416,0.0,2.7714,1.606968576,0
2475,P08754:Q8TCY5,0.0350990641893011,0.124074074074074,0.4222222222222223,0.6499999999999999,0.28,0.0,0.28,0.5125,0.0,1.5978,0.0,0.7749,0.17767240407,0
2476,Q96DV4:Q9NZE8,0.3946074370864086,1.0,0.5534090909090909,0.625,0.17,0.0,0.17,0.0,0.0,2.013,0.0,9.4687,3.240283827,1
2477,A6NJZ7:O75015,-0.0182357150235389,0.144047619047619,0.3095238095238095,0.1402116402116402,0.68,0.0,0.68,0.0,0.0,2.013,0.0,0.4364,0.597361776,0
2478,Q14493:Q8NE86,0.2919098704390201,0.0826312576312576,0.1729362591431556,0.6439296439296439,0.23,0.0,0.23,0.0,0.0,2.416,0.0,2.7714,1.540011552,0
2481,P46779:P62913,0.8507521916424119,0.3308206413469571,0.6087797619047619,0.8271103896103899,0.0,0.0,0.0,2.0764,0.0,1.1933,24.11,38.174,2280.47618033254,1
2482,A8MZ97:Q9BZJ0,0.1353992987798506,0.0,0.3287414965986395,0.625,0.0,0.0,0.0,0.0,0.0,0.9878,0.0,1.5818,1.56250204,0
2483,Q5T442:Q6TGC4,-0.0756458722594451,0.1768939393939394,0.2955555555555555,0.1078282828282828,0.64,0.0,0.64,0.0,0.0,2.013,0.0,2.7714,3.570450048,0
2485,Q13503:Q9H944,0.7005235982106301,0.4602756892230576,0.4763888888888889,0.9311111111111112,0.22,0.0,0.22,3.7695,0.0,0.0,0.0,18.4426,15.294263754,1
2486,P14859:Q16633,0.2756556599952756,0.3926816239316239,1.0,0.896590909090909,0.41,0.0,0.41,0.9127,0.6153,2.013,2.07,1.5818,1.51762514596112,1
2487,Q7Z4W1:Q8N9Q2,-0.2662707963766503,0.1388888888888889,0.0,0.9538239538239538,0.0,0.0,0.0,0.0,0.0,1.5978,0.0,2.1077,3.36768306,0
2488,P41594:Q9Y376,-0.1036953452734571,0.1376392126392126,0.3827777777777778,0.8754578754578756,0.0,0.0,0.0,0.0,0.0,1.5978,0.0,1.1757,1.87853346,0
2490,Q5T653:Q9H300,0.6358957515457765,0.160935939060939,0.55,0.1726190476190476,0.0,0.0,0.0,0.0,0.0,2.013,0.0,18.4426,37.1249538,0
2491,O75899:Q6NUK4,-0.1205904869176365,0.1340277777777778,0.2194444444444444,0.8333333333333334,0.83,0.0,0.83,0.0,0.0,2.416,0.0,1.1757,2.357607696,0
2492,P62314:Q8NG27,0.2507045062244872,0.1875,0.5,0.6777777777777778,0.83,0.0,0.83,0.5125,0.0,0.9878,0.0,2.7714,1.164501886845,0
2493,Q13098:Q99627,0.5006325215236714,0.2426574678454377,0.5246376811594201,1.0,1.52,0.0,1.52,1.7951,158.1204,2.013,0.0,9.4687,8223.45406650752,1
2494,Q8WXC6:Q99542,-0.1229072486501406,0.1288938492063492,0.4722222222222222,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,2.013,0.0,2.1077,4.2428001,0
2496,P42704:Q7Z7F7,0.3688021659031613,0.1888888888888888,0.3164335664335664,0.25,0.68,0.0,0.68,0.0,0.0,2.013,0.0,2.1077,2.885104068,0
2497,Q7Z7N9:Q9Y5V3,0.1906337632690162,0.0,0.3749999999999999,0.9924242424242424,0.22,4.94562,4.94562,0.0,0.0,0.0,0.0,2.1077,10.423883274,0
2498,P23284:Q4G0W2,-0.068326865455597,0.3,0.0,0.1199633699633699,0.0,3.51,3.51,0.0,0.0,1.5978,0.0,1.1757,6.5936524446,0
2499,P61978:Q8TEB7,-0.239077152191908,0.1268192125334982,0.4138888888888889,0.6777777777777778,2.34,0.0,2.34,0.0,0.0,2.416,0.31,1.5818,2.77220953152,0
2501,P35227:P40305,0.2093592456151171,0.2130531505531505,0.2375,0.7777777777777777,0.17,0.0,0.17,0.9127,0.0,2.416,0.0,1.1757,0.4407277741008,0
2502,Q7RTW8:Q8NHQ1,0.7047647417399537,0.1269841269841269,0.4930555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888,0.8888,0
2503,O75396:Q14541,-0.0531512454392822,0.1254058441558441,0.225,0.2685515873015873,0.19,4.96,4.96,0.0,0.0,2.013,0.0,2.1077,21.044288496,0
2504,P51668:Q6UWE0,0.1288268705835858,0.2556943830163645,0.75,0.8624444444444443,118.38,7.37036,118.38,1.7951,0.6153,1.1933,69.61,1.5818,17180.1417675527,1
2505,Q6DKK2:Q9H0U6,0.3154883112531894,0.1064814814814814,0.5045454545454545,0.6547619047619049,0.41,0.0,0.41,0.0,0.0,2.416,0.0,3.9008,3.863976448,0
2507,P37173:Q8NDX2,-0.1248387488359495,0.1560225268558601,0.2902494331065759,0.3245726495726496,0.0,0.0,0.0,0.0,0.6153,2.416,0.0,1.5818,2.35144820064,0
2510,A6PVC2:P40937,0.079281798594401,0.0939133548156104,0.4801470588235295,0.1880546536796536,0.15,0.0,0.15,0.0,0.0,2.013,0.0,0.0,0.30195,0
2511,P63096:Q969X5,-0.0579139595359089,0.1666666666666666,0.4173076923076924,1.0,0.22,0.0,0.22,0.5125,0.0,2.013,0.0,1.1757,0.266843632275,0
2513,Q16613:Q4KWH8,0.7473537267491932,0.1174603174603174,0.5138888888888888,0.1222222222222222,0.0,0.0,0.0,0.0,0.0,2.416,0.0,2.1077,5.0922032,0
2514,P09629:Q9Y2T2,0.2023319500228808,0.1143362193362193,0.2008333333333333,0.9444444444444444,0.41,0.0,0.41,0.0,0.0,2.416,0.0,1.1757,1.164601392,0
2515,Q86YS6:Q9NZV1,0.2118200667105631,0.1233333333333333,0.5,0.2416666666666666,2.49,0.0,2.49,0.0,0.0,2.013,0.0,1.1757,5.893043409,0
2516,P09001:Q9NYK5,0.7875692405652241,1.0,0.4778074866310161,0.625,263.49,0.0,263.49,0.0,0.6153,2.416,0.0,45.2798,17735.8694114107,1
2517,P01877:Q9Y5J1,-0.0634723063297161,0.1214285714285714,0.3348484848484848,0.375,0.24,0.0,0.24,0.5125,0.0,1.5978,0.0,0.4364,0.08576543016,0
2518,A6NG13:Q9HCU8,-0.0593530528695112,0.1083333333333333,0.2421052631578947,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,1.1933,0.0,1.1757,1.40296281,0
2519,A6NM11:P09038,0.1530006746315091,0.0,0.498170731707317,0.0,0.15,0.0,0.15,0.0,0.0,2.013,0.0,1.1757,0.355002615,0
2521,P01861:Q8IXH6,-0.1055550696004673,0.1093819760486427,0.2299999999999999,0.4772727272727273,0.15,0.0,0.15,0.0,0.0,2.013,0.0,0.4364,0.13177098,0
2524,Q16659:Q86UD5,0.3742411486603451,0.111252405002405,0.2535714285714285,0.3,0.0,0.0,0.0,0.0,0.6153,2.416,0.0,1.5818,2.35144820064,0
2525,Q15019:Q8N1F8,0.3140255202144454,1.0,0.5059523809523809,0.3333333333333333,1.22,3.84,3.84,0.0,0.0,2.013,0.0,2.1077,16.292352384,0
2526,P02760:P08865,-0.1527647098721376,0.2607142857142857,0.7498677248677248,0.782051282051282,0.15,0.0,0.15,0.0,0.0,2.416,0.0,0.7962,0.28854288,0
2527,P62269:Q9BVS4,0.7351015718513639,0.1205357142857142,0.5047619047619047,0.1463809523809524,0.24,0.0,0.24,0.0,15.4815,1.1933,0.0,5.6875,25.21711094175,1
2528,Q7Z6K5:Q86XQ3,-0.0381202242374996,0.1316798941798941,0.1619666048237476,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,2.416,0.0,1.1757,2.8404912,0
2530,Q16540:Q9Y5S8,0.1944558938064586,0.1289356476856477,0.3044871794871794,0.4250744047619048,0.41,0.0,0.41,0.0,0.0,2.013,0.0,1.5818,1.305506994,0
2532,P25786:Q9ULW5,-0.2078043193662556,0.1420138888888888,0.1906565656565656,0.5611111111111111,0.29,0.0,0.29,0.0,0.6153,2.013,0.0,0.6688,0.2402287338528,0
2534,P61956:Q9UHV5,0.1084271968100471,0.0811965811965812,0.4166666666666666,0.1428571428571428,0.26,3.67486,3.67486,0.0,0.0,2.416,0.31,0.8888,2.44626481180928,0
2536,P61353:P61960,0.6549631319624594,0.1365559787434787,0.5857142857142857,1.0,6.88,0.0,6.88,1.0145,0.0,1.1933,0.0,9.4687,78.8643062158696,0
2539,Q9BTK6:Q9NVQ4,0.2567455093202691,0.1009615384615384,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.013,0.0,3.9008,7.8523104,0
2541,Q15370:Q9BQP7,0.2104463964689576,0.1174450549450549,0.2,0.5477272727272727,0.0,2.59,2.59,0.9127,0.0,0.0,0.0,2.1077,4.9823772761,0
2543,P13584:Q15029,0.273554477032025,0.1222222222222222,0.2124517374517374,0.3067588325652842,0.15,0.0,0.15,0.0,0.0,1.1933,0.0,1.1757,0.2104444215,0
2544,P62195:Q8N1W2,0.0328233668952716,1.0,1.0,0.6515873015873016,0.83,0.0,0.83,0.0,0.6153,0.993,0.0,1.5818,0.8021689124526,0
2547,P20290:Q9H5J4,-0.0143820181331625,0.0713597009051554,0.2233333333333333,0.5714285714285714,0.0,0.0,0.0,0.5125,0.0,0.0,0.0,3.9008,1.99916,0
2549,P53365:Q14940,0.0866875157478968,0.1128684807256235,0.4878787878787879,0.4857142857142857,0.61,5.22,5.22,0.0,0.0,2.416,0.0,1.5818,19.948902336,0
2550,O14818:P62191,0.8641674652929353,0.6842105263157894,0.8616541353383458,0.927020202020202,7.06,0.0,7.06,3.124,400.8352,1.5978,24.11,18.4426,6280921.32211513,1
2551,P08621:P62306,0.2470126520589791,0.7349816849816849,0.4880541871921182,0.9776119402985076,2.31,0.0,2.31,1.7092,5.2693,1.5978,24.11,5.6875,4558.25719449466,1
2553,P62308:Q16637,0.6616131017508198,0.5954045954045954,0.498015873015873,0.9951923076923076,8.98,2.59,8.98,3.124,0.0,1.5978,69.61,3.9008,12171.2475724417,1
2555,P05112:Q8NBQ5,-0.0113356265866552,0.225,0.3,0.9346354166666666,0.19,0.0,0.19,0.0,0.0,2.013,0.0,1.1757,0.449669979,0
2556,Q86V85:Q9ULV8,-0.2917754015927372,0.2329463465827102,0.75,0.0,1.02,0.0,1.02,0.0,0.0,2.416,0.0,0.7962,1.962091584,0
2558,Q15904:Q86XM0,-0.0184160856294285,0.1193650793650793,0.5333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,2.013,0.0,0.7962,1.6027506,0
2559,P17980:P25788,0.4750906303518348,0.6851851851851851,0.788547317661242,0.993993993993994,52.16,0.0,52.16,3.8142,606.3917,2.013,24.11,45.2798,265118343.75767,1
2560,Q8WU67:Q9UBZ9,0.226696271174835,0.0953282828282828,0.3333333333333333,0.1098800505050505,0.54,3.66,3.66,0.0,0.0,2.416,0.0,3.9008,34.493058048,0
2563,O75891:Q86WT6,-0.1435139887577339,0.13125,0.6518518518518518,0.9632683215130023,1.22,0.0,1.22,0.0,0.0,2.013,0.0,2.1077,5.176216122,0
2564,P04234:P20963,0.9037950471852934,0.3382306582306583,0.8681623931623932,0.9233333333333332,0.17,0.0,0.17,1.7951,0.0,2.416,0.89,38.174,25.0491027415139,1
2565,P55851:Q9H270,0.1667600914943678,0.1344376383850068,0.1878654970760233,0.931687242798354,0.54,0.0,0.54,0.0,0.0,2.013,0.0,2.1077,2.291112054,0
2566,Q13322:Q9UBR1,-0.1653438809130102,0.0949333074333074,0.7222222222222222,0.3,0.0,0.0,0.0,0.0,0.0,1.5978,0.0,1.5818,2.52740004,0
2568,Q92624:Q9BZK3,0.5627806346990748,0.25,0.625,1.0,0.58,0.0,0.58,0.0,0.0,2.013,0.0,0.0,1.16754,0
2571,Q96H79:Q9H270,0.549022946042864,0.0,0.156641604010025,0.0,0.68,0.0,0.68,0.0,0.0,1.5978,0.0,0.8888,0.9656847552,0
2572,P30518:P49458,-0.0344567624368758,0.1294117647058823,0.2583333333333333,0.8357142857142856,0.41,0.0,0.41,1.0145,0.0,1.5978,0.0,0.7749,0.5149961540829,0
2573,P62318:Q9H5V9,0.8281927057332932,0.1114996114996115,0.5990196078431372,0.75,0.8,0.0,0.8,0.0,0.0,1.5978,0.0,9.4687,12.103271088,0
2575,P84098:Q8NBP7,-0.2921950892998094,0.1406926406926406,0.3460317460317459,0.625705467372134,0.54,0.0,0.54,0.0,0.0,1.5978,0.0,1.5818,1.3647960216,0
2578,Q969L4:Q9Y278,-0.0277085851903853,0.1428571428571428,0.35,0.1333333333333333,0.0,5.43,5.43,0.0,0.0,2.013,0.0,1.1757,12.851094663,0
2579,O76076:O95416,-0.0911584327282604,0.1475,0.4476190476190476,0.797584541062802,0.17,0.0,0.17,0.0,0.6153,2.013,0.0,2.7714,0.5835510085482,0
2581,P11926:P81274,-0.0234979181584123,0.1486596736596736,0.609375,0.8840388007054673,0.28,7.37,7.37,0.0,0.0,2.416,0.0,3.9008,69.457332736,0
2582,P04908:P61077,0.1518901475197802,0.0914859993807362,0.2308080808080808,0.7918595679012346,52.16,0.0,52.16,4.2492,0.6153,1.1933,0.0,1.5818,257.414426294861,1
2583,P37173:Q9H320,-0.1156936198781903,0.3396915584415584,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.993,0.0,0.8888,0.8825784,0
2584,Q15544:Q9Y294,0.5351176423939269,0.1603594322344322,0.509090909090909,0.9416666666666668,77.86,0.0,77.86,1.7951,0.0,2.013,2.07,18.4426,10740.8663745644,0
2585,P56537:P60468,0.4125624045079413,0.1107142857142857,0.4560606060606061,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4426,18.4426,0
2587,P10916:P27694,-0.0644996193768192,0.1133370744481855,0.4702508960573478,0.8325060532687654,0.15,0.0,0.15,0.0,0.0,1.5978,0.0,1.1757,0.281780019,0
2588,Q13405:Q9BZI7,0.4745072292898806,0.0817230749048931,0.206712962962963,0.9093023255813952,2.14,0.0,2.14,0.9127,0.0,2.013,0.0,3.9008,15.3369599224512,0
2590,P01911:P02686,-0.075458093283741,0.2018172568172568,0.4727272727272727,0.9285714285714286,0.24,62.31,62.31,1.7092,0.0,0.993,0.0,2.1077,222.899287072417,1
2591,P14866:Q15366,0.8947702381657967,0.1842929292929293,0.6587962962962962,0.5965686274509804,16.53,0.0,16.53,1.7092,3.1392,2.416,5.86,18.4426,23158.0195573754,1
2592,P07202:P16035,0.0010921474300481,0.1525641025641025,0.4327838827838827,0.2016203703703703,0.23,0.0,0.23,0.0,0.0,2.416,0.0,2.1077,1.171206736,0
2593,Q13507:Q6P1J9,-0.0271585257060657,0.1318048618048618,0.2873376623376624,0.9805194805194806,0.41,0.0,0.41,0.0,0.0,2.013,0.0,1.1757,0.970340481,0
2594,P61978:Q8NFW9,-0.1473397878917241,0.1180555555555555,0.2793650793650793,0.7896825396825397,0.83,0.0,0.83,0.0,0.0,2.416,0.0,1.1757,2.357607696,0
2597,Q13415:Q8NHU0,0.332401926460564,0.0,0.0,1.0,0.54,0.0,0.54,0.0,0.0,2.416,0.0,0.4364,0.569344896,0
2598,Q8NBC4:Q9H341,0.4392287712194421,0.0,0.4166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8011,0.0,0.0,0.8011,0
2599,P18077:Q96IQ7,-0.0167595737883186,0.3333333333333333,1.0,0.0,0.24,0.0,0.24,0.0,0.0,1.5978,0.0,1.5818,0.6065760096,0
2601,P10451:Q16236,-0.1073685160947677,0.2088552018958168,0.3833333333333331,0.8845513122740846,0.54,0.0,0.54,1.0145,0.0,2.416,2.07,2.1077,5.77459967564592,0
2602,Q99607:Q9NRX1,0.5092232367742633,0.1666666666666666,0.4666666666666667,0.875,0.45,3.84,3.84,0.0,0.0,1.1933,0.0,1.1757,5.3873771904,0
2604,P82914:Q86YF9,0.1711138922394585,0.108953373015873,0.4394736842105263,0.8358974358974359,0.41,3.66,3.66,0.0,0.0,2.013,0.0,1.1757,8.662063806,0
2605,P61956:Q07011,0.1290207351295621,0.0861111111111111,0.3333333333333333,0.625,0.23,0.0,0.23,1.7951,0.0,2.013,0.0,0.8888,0.7386935445912,0
2607,Q9H492:Q9UEU0,0.4561373109066967,0.1839905464905465,0.3728253968253968,0.9651041666666668,8.98,0.0,8.98,0.9127,0.0,2.013,0.0,2.7714,45.7243325532972,0
